selector,layer,expert,trainable_params,updates,final_train_loss,peak_gpu_gib,heldout_target_nll,heldout_control_nll,target_improvement,control_damage,adaptation_score
routing,29,194,3145728,19,4.423398494720459,63.62220335006714,3.9909675121307373,3.4992737770080566,0.7719357013702393,-0.620872974395752,0.7719357013702393
causal,36,229,3145728,19,4.936981201171875,63.62220335006714,4.734897136688232,4.086417198181152,0.02800607681274414,-0.03372955322265625,0.02800607681274414
random_same_layer,36,45,3145728,19,4.9040398597717285,63.62220335006714,4.7458319664001465,4.102362155914307,0.017071247100830078,-0.017784595489501953,0.017071247100830078
random_global,34,56,3145728,19,5.127803802490234,63.62220335006714,4.759828567504883,4.117950916290283,0.00307464599609375,-0.0021958351135253906,0.00307464599609375
