layer,expert,precise_target_grad_l2,precise_control_grad_l2,precise_grad_dot,precise_grad_cosine,precise_grad_specific,precise_grad_ratio
1,71,0.09487905959367011,0.05217075374921599,0.000719638483133167,0.14538409476365008,0.05575099428175812,1.8186254323242803
2,13,0.010487789345028954,0.0014932347659904696,-2.7713672778872933e-07,-0.017696282246394437,0.009367863270536101,7.023536805378903
3,180,0.021240134691136028,0.020013957439787233,3.5197713259549346e-05,0.08279883202971657,0.006229666611295603,1.061266106614673
4,98,0.010433605855571364,0.07745009911082466,-2.1307665747372084e-06,-0.002636813848643653,-0.04765396847754713,0.13471391225086782
5,192,0.020513509628869553,0.0329605556925864,0.00010872797429328784,0.16080768587264635,-0.004206907140570246,0.6223654060802487
6,222,0.007969453362568314,0.090859749394299,-4.239241889081313e-06,-0.005854477345718225,-0.06017535868315595,0.08771159303880542
7,6,0.09956068129668391,0.05379886798922948,0.00029817062022630125,0.05566777347477278,0.0592115303047618,1.8506092231302214
8,149,0.0003428778107959385,0.0,0.0,0.0,0.0003428778107959385,342877810.7959385
9,55,0.0,0.05704103236532072,0.0,0.0,-0.04278077427399054,0.0
10,178,0.018264420345841022,0.007586241274207581,-5.500578197370487e-07,-0.0039698655498292615,0.012574739390185337,2.4075717714819524
11,134,0.03301934260945469,0.06927633746168875,0.0004398189630592242,0.19227402096467303,-0.01893791048681187,0.47663233679520706
12,198,0.008677570802898799,0.001797088291693321,1.1685293657137663e-06,0.07493281539007583,0.007329754584128808,4.828683620154023
13,238,0.01249436612637204,0.0009024312504046039,3.486004462871506e-08,0.0030917159364424636,0.011817542688568586,13.84522766352005
14,248,0.01428859265186813,0.0066091842944599145,6.088355126721012e-07,0.006447074057242458,0.009331704431023194,2.1619298256947497
15,68,0.0,0.07855802424356578,0.0,0.0,-0.05891851818267434,0.0
16,213,0.13194129054548412,0.00193047416023167,-4.245511036060634e-07,-0.0016668067616821152,0.13049343492531038,68.34657163258984
17,146,0.009048936929505076,0.0,0.0,0.0,0.009048936929505076,9048936929.505075
18,206,0.23149669656265828,0.02994250046863782,-2.5372341951879207e-06,-0.00036603928033894024,0.20903982121117992,7.73137489961467
19,173,0.019521811931828476,0.04359276007204264,9.585915540810674e-05,0.11264167669913383,-0.013172758122203504,0.44782234249720254
20,61,0.034178740624527415,0.04311445981817171,0.0003912867687176913,0.26553156616499757,0.001842895760898633,0.7927442618527056
21,245,0.5614609924093019,0.4254266242005525,-0.00023665092885494232,-0.0009907497213402484,0.24239102425888753,1.319759884476109
22,13,0.024265457522152988,0.11903280710812776,0.00012883207455161028,0.04460348989193222,-0.06500914780894283,0.2038552069086863
23,137,0.3263994268340596,0.02306529691376037,6.315466089290567e-05,0.008388744567073093,0.3091004541487393,14.151104494353337
24,120,0.07109127138606426,0.04887520249153622,0.00016912336650420912,0.04867419347910625,0.03443486951741209,1.4545468409449696
25,31,0.19020795873724855,0.0,0.0,0.0,0.19020795873724855,190207958737.24857
26,17,0.02268107232177031,0.039156659456509334,6.0939994000364095e-05,0.06861723119653262,-0.00668642227061169,0.5792392056932888
27,141,0.020955842825228704,0.047252411586497456,4.6329165570568875e-06,0.00467870181688414,-0.014483465864644388,0.443487265965774
