layer,expert,target_delta_nll,control_delta_nll,causal_specificity
3,18,0.020120009779930115,0.005983905401080847,0.01563208072911948
3,26,0.02806827984750271,0.002996023278683424,0.02582126238849014
3,32,0.029693707823753357,0.01210050843656063,0.020618326496332884
3,35,0.01636502891778946,0.0030476832762360573,0.014079266460612416
3,53,0.002574616577476263,0.012553106993436813,-0.006840213667601347
3,63,0.028580689802765846,0.019956113770604134,0.013613604474812746
3,65,0.018161388114094734,-0.008921705186367035,0.018161388114094734
3,69,0.029435019940137863,-0.010605662129819393,0.029435019940137863
3,88,0.03008047118782997,0.018186114728450775,0.01644088514149189
3,92,-0.011835580691695213,-0.019823182374238968,-0.011835580691695213
3,98,0.00444858567789197,0.02721470408141613,-0.015962442383170128
3,105,0.024759192019701004,-0.012843310832977295,0.024759192019701004
3,110,0.00237164250575006,-0.006107963155955076,0.00237164250575006
3,124,-0.007549011614173651,0.015443983487784863,-0.019131999230012298
3,133,-0.00371022941544652,0.027649061754345894,-0.02444702573120594
3,146,0.010782808996737003,0.009434389881789684,0.00370701658539474
3,165,-0.01405331864953041,0.01794770546257496,-0.02751409774646163
3,171,0.009564714506268501,-0.011933583766222,0.009564714506268501
3,173,0.013073230162262917,0.014994833618402481,0.0018271049484610558
3,175,0.014005039818584919,0.0040435791015625,0.010972355492413044
3,188,0.053217414766550064,0.0018246095860376954,0.05184895757702179
3,190,0.020112358033657074,0.017584985122084618,0.006923619192093611
3,192,0.020041532814502716,-0.014394056051969528,0.020041532814502716
3,203,0.058145489543676376,0.01719929277896881,0.04524601995944977
3,210,0.008450023829936981,-0.011742396280169487,0.008450023829936981
3,220,0.054844923317432404,-0.004996548406779766,0.054844923317432404
3,240,0.0012994766002520919,0.014615229330956936,-0.00966194539796561
3,242,0.033721305429935455,-0.006260061636567116,0.033721305429935455
3,254,0.025300778448581696,0.005223285406827927,0.02138331439346075
5,13,0.003408454591408372,-0.013453355990350246,0.003408454591408372
5,14,-0.037718262523412704,0.005819740239530802,-0.042083067703060806
5,17,0.039393190294504166,-0.0030874835792928934,0.039393190294504166
5,21,0.013526750728487968,0.0024354709312319756,0.011700147530063987
5,41,0.04499613866209984,-0.001456554513424635,0.04499613866209984
5,52,0.022722726687788963,0.008338785730302334,0.016468637390062213
5,53,0.015765029937028885,-0.0017979139229282737,0.015765029937028885
5,66,0.055500779300928116,-0.009348914958536625,0.055500779300928116
5,70,0.000378057942725718,0.012369279749691486,-0.008898901869542897
5,82,0.010043071582913399,0.007534585427492857,0.004392132512293756
5,97,0.0068871998228132725,0.01660521700978279,-0.005566712934523821
5,99,-0.0007542014354839921,0.002943397266790271,-0.002961749385576695
5,101,0.016560964286327362,-0.004754292778670788,0.016560964286327362
5,119,0.20278969407081604,0.037845224142074585,0.1744057759642601
5,121,0.014063367620110512,0.034637462347745895,-0.01191472914069891
5,126,0.020535701885819435,0.026057790964841843,0.0009923586621880531
5,140,0.012298042885959148,-0.010619980283081532,0.012298042885959148
5,169,0.010388760827481747,-0.03241049870848656,0.010388760827481747
5,172,-0.002199411392211914,0.02633019909262657,-0.021947060711681843
5,183,0.008606436662375927,-0.006395265460014343,0.008606436662375927
5,188,-0.003437523730099201,0.01666848361492157,-0.01593888644129038
5,202,0.015912946313619614,0.0072821383364498615,0.010451342561282218
5,216,0.006697805132716894,0.0359516367316246,-0.02026592241600156
5,217,0.012920446693897247,0.03648671135306358,-0.01444458682090044
5,220,-0.0024019598495215178,0.031132854521274567,-0.025751600740477443
5,236,0.016769632697105408,0.009575546719133854,0.009587972657755017
5,237,0.03168128803372383,0.02756744623184204,0.0110057033598423
5,254,0.017138270661234856,0.03862040489912033,-0.011827033013105392
6,0,0.057336412370204926,-0.0023781610652804375,0.057336412370204926
6,7,0.0006859672139398754,0.009248298592865467,-0.006250256730709225
6,19,0.010602043010294437,0.0028856159187853336,0.008437831071205437
6,27,0.021550938487052917,-0.020108774304389954,0.021550938487052917
6,34,-0.012818519957363605,-0.02532409131526947,-0.012818519957363605
6,37,0.0039143990725278854,-0.0006459170836023986,0.0039143990725278854
6,46,0.00015012740914244205,0.025046026334166527,-0.018634392341482453
6,51,-0.01302421372383833,-0.0035813944414258003,-0.01302421372383833
6,60,0.00789039209485054,0.02972499281167984,-0.01440335251390934
6,76,-0.002224942436441779,0.007098989561200142,-0.007549184607341886
6,83,0.027567116543650627,0.00472944974899292,0.024020029231905937
6,108,0.02178114838898182,0.005612195003777742,0.017572002136148512
6,111,-0.00925792008638382,-0.019480787217617035,-0.00925792008638382
6,120,0.0043403711169958115,0.01392943412065506,-0.006106704473495483
6,122,-0.006528087891638279,0.012510419823229313,-0.015910902759060264
6,126,-0.008933131583034992,-0.004499948583543301,-0.008933131583034992
6,144,0.03751923888921738,0.03512831777334213,0.011173000559210777
6,145,0.027508366852998734,0.013045690953731537,0.01772409863770008
6,161,0.004853184334933758,0.024645943194627762,-0.013631273061037064
6,163,0.025463545694947243,-0.011211724020540714,0.025463545694947243
6,179,0.020868759602308273,-0.005241189152002335,0.020868759602308273
6,180,-0.010099045932292938,-0.011531375348567963,-0.010099045932292938
6,188,0.005279116798192263,0.00777854211628437,-0.0005547897890210152
6,192,0.01485409401357174,0.024760723114013672,-0.0037164483219385147
6,195,-0.013406379148364067,-0.014483105391263962,-0.013406379148364067
6,215,-0.013463657349348068,0.011175497435033321,-0.02184528042562306
