capability,predictor,outcome,n,spearman_rho,spearman_p,spearman_ci_low,spearman_ci_high,kendall_tau
algorithms,renorm_causal_specificity,relative_specific_gain,48,-0.13722722912268973,,,,-0.10563702218944264
algorithms,routing_mass,relative_specific_gain,48,-0.16568403691857755,,,,-0.12265714866815952
algorithms,routing_rate,relative_specific_gain,48,-0.1807874387669385,,,,-0.13579428244948127
algorithms,precise_target_gradient,relative_target_improvement,48,0.5341803839127628,,,,0.3667114972863929
algorithms,global_target_gradient,relative_target_improvement,48,0.49801814202560074,,,,0.34356950959356225
algorithms,target_control_gradient_cosine,relative_target_improvement,48,0.3982824463773812,,,,0.28226724349092913
algorithms,precise_gradient_specific,relative_target_improvement,48,0.3676039539631546,,,,0.2583224660262841
algorithms,causal_target_damage,relative_target_improvement,48,0.30452719753888025,,,,0.2370175203746318
algorithms,causal_relative_target_damage,relative_target_improvement,48,0.30452719753888025,,,,0.2370175203746318
algorithms,precise_control_gradient,relative_target_improvement,48,0.3037411127879645,,,,0.21094811858464832
algorithms,global_gradient_specific,relative_target_improvement,48,0.2818369357614735,,,,0.20150927762187798
algorithms,causal_specificity,relative_target_improvement,48,0.19552708833066787,,,,0.14292067707983416
algorithms,renorm_causal_target_damage,relative_target_improvement,48,0.1815220942192541,,,,0.1375944406669211
algorithms,causal_relative_specificity,relative_target_improvement,48,0.15818043736689788,,,,0.11806490715290648
algorithms,routing_mass,relative_target_improvement,48,0.12832059594000036,,,,0.08761224904868536
algorithms,renorm_causal_specificity,relative_target_improvement,48,0.11279991381208435,,,,0.07900584012487727
algorithms,routing_rate,relative_target_improvement,48,0.10666740926935435,,,,0.06888115776422964
algorithms,target_control_gradient_cosine,specific_gain,48,0.2873766054532947,0.04939012197560488,-0.02875086303936067,0.5786547994243528,0.214164670458197
algorithms,precise_target_gradient,specific_gain,48,0.26687300131441644,0.06718656268746251,-0.03227558701164964,0.5084661135958987,0.17267483124650537
algorithms,global_target_gradient,specific_gain,48,0.2431992213402383,0.09738052389522095,-0.04401421820788085,0.49072241245237747,0.16377406674926284
algorithms,precise_gradient_specific,specific_gain,48,0.1789165139194562,0.22175564887022595,-0.13100811564659576,0.45442529155933015,0.13049279211637033
algorithms,causal_target_damage,specific_gain,48,0.16588861242046668,0.27014597080583885,-0.1542670067222209,0.4665383571609622,0.12339114356581955
algorithms,causal_relative_target_damage,specific_gain,48,0.16588861242046668,0.261747650469906,-0.15831026691295763,0.46755332213595124,0.12339114356581955
algorithms,global_gradient_specific,specific_gain,48,0.150580828159154,0.3129374125174965,-0.15653015835770248,0.43727078363773597,0.1127386707399934
algorithms,precise_control_gradient,specific_gain,48,0.12683933490752325,0.3773245350929814,-0.1651608585007116,0.39584059527151527,0.09345802722104674
algorithms,causal_specificity,specific_gain,48,0.022038866702457287,0.8782243551289742,-0.2920609784252642,0.34485612238799374,0.025743475995746525
algorithms,renorm_causal_target_damage,specific_gain,48,-0.0024970144539729934,0.9860027994401119,-0.28069937426279123,0.28959008065622455,0.002663118206456537
algorithms,causal_relative_specificity,specific_gain,48,-0.01541635010713761,0.9216156768646271,-0.320108788143459,0.3035428509972267,0.004438530344094228
algorithms,renorm_causal_specificity,specific_gain,48,-0.09988057815891974,0.500499900019996,-0.39577910022798257,0.21207451284668077,-0.08078125226251495
algorithms,routing_mass,specific_gain,48,-0.13699928358811633,0.353129374125175,-0.45453558951085515,0.17762284832202963,-0.10513469885842244
algorithms,routing_rate,specific_gain,48,-0.1558551305188927,0.28754249150169964,-0.4731336234351239,0.14949588059751862,-0.12398608397561334
algorithms,precise_target_gradient,target_improvement,48,0.5341803839127628,0.0001999600079984003,0.31163345197712017,0.6941504542638187,0.3667114972863929
algorithms,global_target_gradient,target_improvement,48,0.49801814202560074,0.0003999200159968006,0.26790044716489175,0.6665794371140414,0.34356950959356225
algorithms,target_control_gradient_cosine,target_improvement,48,0.3982824463773812,0.0057988402319536095,0.11062299718919548,0.6398696116449943,0.28226724349092913
algorithms,precise_gradient_specific,target_improvement,48,0.3676039539631546,0.010597880423915218,0.08748479333146145,0.5920171272308689,0.2583224660262841
algorithms,causal_target_damage,target_improvement,48,0.30452719753888025,0.03499300139972006,-0.011540054596211493,0.5996160894197045,0.2370175203746318
algorithms,causal_relative_target_damage,target_improvement,48,0.30452719753888025,0.03279344131173765,-0.012462173670867717,0.5887833028455862,0.2370175203746318
algorithms,precise_control_gradient,target_improvement,48,0.3037411127879645,0.03699260147970406,0.013518402174059902,0.5621126672055705,0.21094811858464832
algorithms,global_gradient_specific,target_improvement,48,0.2818369357614735,0.05698860227954409,-0.014802269212853788,0.5194230939481788,0.20150927762187798
algorithms,causal_specificity,target_improvement,48,0.19552708833066787,0.1801639672065587,-0.12090234473171235,0.4842347392972016,0.14292067707983416
algorithms,renorm_causal_target_damage,target_improvement,48,0.1815220942192541,0.21855628874225155,-0.11404783963589245,0.45589449673857146,0.1375944406669211
algorithms,causal_relative_specificity,target_improvement,48,0.15818043736689788,0.28754249150169964,-0.15132064975828555,0.4590011485171251,0.11806490715290648
algorithms,routing_mass,target_improvement,48,0.12832059594000036,0.375124975004999,-0.20246646957978237,0.43003474125140934,0.08761224904868536
algorithms,renorm_causal_specificity,target_improvement,48,0.11279991381208435,0.4357128574285143,-0.196972472358463,0.423445383405131,0.07900584012487727
algorithms,routing_rate,target_improvement,48,0.10666740926935435,0.47430513897220555,-0.22176409084994472,0.39663699962895355,0.06888115776422964
