capability,selector,layer,expert,n_runs,target_improvement_mean,target_improvement_std,control_improvement_mean,specific_gain_mean,relative_target_improvement_mean,relative_specific_gain_mean,specific_gain_std,target_token_acc_mean,target_seq_exact_mean,mean_grad_norm,native_target_improvement_mean,native_control_improvement_mean,native_specific_gain_mean
algorithms,causal,32.0,121.0,3,0.698487122853597,0.0131271158344416,-0.005729357401529867,0.704216480255127,0.2577489934184136,0.2605477682187565,0.012660985477503313,0.6966665784517924,0.0,6.686537357798794,0.6994806130727133,-0.006855964660644466,0.7063365777333578
algorithms,gradient_specific,32.0,121.0,3,0.698487122853597,0.0131271158344416,-0.005729357401529867,0.704216480255127,0.2577489934184136,0.2605477682187565,0.012660985477503313,0.6966665784517924,0.0,6.686537357798794,0.6994806130727133,-0.006855964660644466,0.7063365777333578
algorithms,routing,32.0,121.0,3,0.698487122853597,0.0131271158344416,-0.005729357401529867,0.704216480255127,0.2577489934184136,0.2605477682187565,0.012660985477503313,0.6966665784517924,0.0,6.686537357798794,0.6994806130727133,-0.006855964660644466,0.7063365777333578
algorithms,gradient,30.0,229.0,3,0.09884659449259436,0.0026152479681443978,0.0350112915039062,0.06383530298868813,0.036475418657996334,0.019372502306081202,0.005911842194469821,0.6619999408721924,0.0,6.347878263707746,0.09499788284301754,0.029410282770792603,0.0655876000722249
