epoch,update_step,raw_step,accumulated_examples,loss,grad_norm
0,1,8,8,1.0263738632202148,0.26953125
0,2,16,8,0.8692485094070435,0.22265625
0,3,24,8,0.8286511898040771,0.2392578125
0,4,32,8,1.4505735635757446,0.28125
0,5,40,8,1.2228015661239624,0.20703125
0,6,48,8,0.6472533941268921,0.251953125
0,7,56,8,0.8593379855155945,0.306640625
0,8,64,8,1.1774663925170898,0.2255859375
0,9,72,8,1.18328058719635,0.2353515625
0,10,80,8,0.8779618144035339,0.255859375
0,11,88,8,0.44432538747787476,0.314453125
0,12,96,8,0.6947712898254395,0.1826171875
0,13,104,8,0.9265381693840027,0.263671875
0,14,112,8,0.760591447353363,0.267578125
0,15,120,8,1.0352535247802734,0.255859375
0,16,128,8,0.7876827716827393,0.296875
