placement_id,mean_accuracy,mean_gain_vs_base,guided_fixed8_minus_placement,random_seed,layers_json,guided_overlap_n,guided_jaccard
random_signature_01,0.7960069444444444,0.01475694444444442,-0.01388888888888884,3253,"[1, 2, 8, 11, 12, 16, 21, 26]",2,0.14285714285714285
random_signature_05,0.7916666666666666,0.01041666666666663,-0.00954861111111105,4211,"[2, 3, 6, 8, 20, 25, 34, 36]",2,0.14285714285714285
random_signature_02,0.7907986111111112,0.00954861111111116,-0.00868055555555558,3469,"[4, 8, 16, 19, 26, 27, 33, 34]",2,0.14285714285714285
random_signature_04,0.7881944444444444,0.00694444444444442,-0.0060763888888888395,3929,"[4, 12, 15, 22, 25, 30, 35, 36]",1,0.06666666666666667
random_signature_03,0.7838541666666666,0.0026041666666666297,-0.0017361111111110494,3691,"[1, 9, 12, 20, 25, 26, 36, 37]",2,0.14285714285714285
random_signature_00,0.7803819444444444,-0.0008680555555555802,0.0017361111111111605,3101,"[1, 8, 10, 13, 20, 28, 30, 35]",1,0.06666666666666667
