method,n_training_seeds,mean_accuracy,base_accuracy,mean_accuracy_gain,two_way_ci_low,two_way_ci_high,positive_seed_count,nonnegative_seed_count,target_improvement_mean,control_abs_shift_mean,trainable_params
standard_lora_v10_policy,5,0.778125,0.78125,-0.0031250000000000444,-0.031770833333333304,0.025000000000000022,2,2,0.00318443775177,0.00423231124877924,12288000
guided_lora_v10_policy,5,0.7859375,0.78125,0.004687499999999956,-0.020312499999999956,0.03020833333333328,3,3,0.00175437927246088,0.00125269889831536,12644352
guided_lora_fixed8,5,0.7817708333333333,0.78125,0.0005208333333333037,-0.0234375,0.025000000000000022,2,3,0.00498328208923334,0.00219533443450924,12644352
