method,n_seeds,mean_accuracy,base_accuracy,mean_accuracy_gain,two_way_ci_low,two_way_ci_high,positive_seed_count,target_improvement_mean,control_abs_shift_mean,trainable_params
bottleneck_lora_unconditioned,3,0.7821180555555556,0.78125,0.0008680555555555802,-0.02517361111111116,0.02690972222222221,1,0.005495866139729767,0.0025040705998738335,12644352
stratified_lora_unconditioned,3,0.7960069444444444,0.78125,0.01475694444444442,-0.01475694444444453,0.04513888888888884,3,0.0018552939097086394,0.0037306944529215333,12644352
stratified_lora_riemannian_alpha001,3,0.7890625,0.78125,0.0078125,-0.02170138888888884,0.03645833333333337,2,0.02809365590413407,0.0023547808329264,12644352
stratified_lora_riemannian_alpha010,3,0.7864583333333334,0.78125,0.00520833333333337,-0.02170138888888895,0.03298611111111116,2,0.007139364878336533,0.0024739106496174668,12644352
