capability,selector,layer,expert,n_runs,target_improvement_mean,target_improvement_std,control_improvement_mean,specific_gain_mean,relative_target_improvement_mean,relative_specific_gain_mean,specific_gain_std,target_token_acc_mean,target_seq_exact_mean,mean_grad_norm,native_target_improvement_mean,native_control_improvement_mean,native_specific_gain_mean
python,gradient,25.0,168.0,3,0.3661352396011352,0.0017583157138523,0.2581599553426106,0.1079752842585245,0.4527420251289869,0.3466078401094017,0.0129183438981458,0.9081504344940186,0.0,2.786114226307786,0.367577185233434,0.2645767529805501,0.1030004322528838
python,gradient_specific,28.0,138.0,3,0.271086573600769,0.0009705297470084,0.0715638001759846,0.1995227734247843,0.3352102475877326,0.3057890865927883,0.0037770562270356,0.9011892676353456,0.0399999991059303,2.615643996941416,0.270145038763682,0.0746879577636718,0.1954570810000101
python,routing,6.0,0.0,3,0.0607857704162597,0.0079594936852985,-0.0239396095275878,0.0847253799438476,0.0751642284617658,0.0850062310431718,0.0154656111267141,0.9060898025830588,0.0,0.504332953377774,0.0581465959548949,-0.0261540412902831,0.0843006372451781
python,causal,38.0,60.0,3,0.0139095187187194,0.001104719582265,0.0185499986012776,-0.0046404798825581,0.0171997201912139,0.0095734832674887,0.0020971447180857,0.8983322381973267,0.0,0.3203816257025065,0.0145351688067117,0.0168367226918538,-0.0023015538851419
sql,gradient,28.0,149.0,3,0.2097160816192626,0.0021613632137223,0.1558148860931396,0.053901195526123,0.2643293081006149,0.2043263994696381,0.0041826517393988,0.8739975094795227,0.0,1.4551974284021476,0.2097234924634297,0.1563877264658609,0.0533357659975687
sql,causal,31.0,38.0,3,0.1533511877059936,0.0019350023100203,0.1111634572347005,0.042187730471293,0.1932861468217018,0.1504781011028216,0.0020661577136951,0.8728381196657816,0.0,1.1021111429783337,0.1526194612185159,0.1140062014261881,0.0386132597923278
sql,gradient_specific,34.0,239.0,3,0.1372604370117187,0.0007067735231179,-0.0025323232014973,0.1397927602132161,0.1730051222813,0.1739802971281547,0.0020889780377629,0.8728381196657816,0.0,1.2477945633101883,0.1375961502393086,-0.0042971769968668,0.1418933272361755
sql,routing,6.0,91.0,3,0.072588562965393,0.0054367996676195,-0.0067166487375894,0.0793052117029825,0.0914917181196174,0.0940782390266573,0.0130822461566035,0.8753214677174886,0.0,0.4669519793568996,0.0748659173647562,0.0037187735239664,0.0711471438407897
systems,gradient_specific,34.0,89.0,3,0.4162867863972981,0.0052471674495944,-0.0032313664754231,0.4195181528727214,0.2402244326606168,0.2416750753977435,0.0041740090281671,0.8635591268539429,0.0,3.698438138292546,0.4175816774368285,-0.0038442611694335,0.4214259386062622
systems,routing,31.0,249.0,3,0.2835422356923421,0.0031342863289432,-0.0044180552164713,0.2879602909088135,0.1636222309480391,0.1656056084945799,0.0020840324050884,0.8652323484420776,0.0,2.7276152382817185,0.282354195912679,-0.011173645655314,0.2935278415679931
systems,gradient,30.0,229.0,3,0.0840214490890502,0.0027682047227139,0.0384205977121988,0.0456008513768513,0.0484858169854968,0.0312378318215832,0.0037600061296491,0.8387225270271301,0.0,5.176532887575919,0.0839170614878336,0.0440455277760823,0.0398715337117512
systems,causal,36.0,229.0,3,0.0133434534072875,0.001523801672113,0.0036834875742593,0.0096599658330281,0.0077000366796168,0.0060464252624234,0.0026839160688095,0.8387225270271301,0.0,0.3747976160885994,0.0143865744272867,0.0072342554728189,0.0071523189544677
algorithms,causal,32.0,121.0,3,0.698487122853597,0.0131271158344416,-0.0057293574015298,0.704216480255127,0.2577489934184136,0.2605477682187565,0.0126609854775033,0.6966665784517924,0.0,6.686537357798794,0.6994806130727133,-0.0068559646606444,0.7063365777333578
algorithms,gradient_specific,32.0,121.0,3,0.698487122853597,0.0131271158344416,-0.0057293574015298,0.704216480255127,0.2577489934184136,0.2605477682187565,0.0126609854775033,0.6966665784517924,0.0,6.686537357798794,0.6994806130727133,-0.0068559646606444,0.7063365777333578
algorithms,routing,32.0,121.0,3,0.698487122853597,0.0131271158344416,-0.0057293574015298,0.704216480255127,0.2577489934184136,0.2605477682187565,0.0126609854775033,0.6966665784517924,0.0,6.686537357798794,0.6994806130727133,-0.0068559646606444,0.7063365777333578
algorithms,gradient,30.0,229.0,3,0.0988465944925943,0.0026152479681443,0.0350112915039062,0.0638353029886881,0.0364754186579963,0.0193725023060812,0.0059118421944698,0.6619999408721924,0.0,6.347878263707746,0.0949978828430175,0.0294102827707926,0.0655876000722249
