selector,capabilities,target_improvement_mean,target_improvement_median,specific_gain_mean,specific_gain_median,relative_target_improvement_mean,relative_target_improvement_median,relative_specific_gain_mean,relative_specific_gain_median,native_target_improvement_mean,native_target_improvement_median,native_specific_gain_mean
gradient_specific,4,0.3807802299658457,0.3436866799990336,0.36576254169146216,0.3095204631487528,0.2515471989870157,0.2489867130395152,0.24549805683436077,0.25111142180825,0.38120086987813306,0.34386335810025526,0.3662782311439514
gradient,4,0.18967984120051057,0.15428133805592845,0.06782815853754673,0.05886824925740555,0.20050814221827373,0.15640756254305585,0.15038614342667606,0.11778211564561065,0.1890539055069287,0.15236068765322358,0.06544883300860715
routing,4,0.27885092298189795,0.17806539932886756,0.28905184070269263,0.18634283542633054,0.147006792736959,0.12755697453382825,0.15130946169579138,0.1298419237606186,0.27871183057626087,0.1786100566387176,0.28882805009682966
causal,4,0.2197728206713994,0.0836303532123565,0.18785592416922248,0.025923848152160547,0.11898372427773654,0.10524293350645786,0.10666144446287255,0.08002579218515514,0.2202554543813069,0.08357731501261381,0.18745015064875284
