family_anchor,method,family,lr,updates,generation_accuracy,control_abs_shift,target_improvement,trainable_params,control_improvement,specific_gain,selective_target_gain,relative_target_improvement,relative_control_improvement,target_nll,control_nll,parameter_delta_l2,peak_gpu_gib,train_wall_seconds
expert_family,gradient_specific_experts,full_expert,2.5e-06,0,0.7916666666666666,0.0,0.0,12582912,0.0,0.0,0.0,0.0,0.0,1.1333614587783813,1.7433542013168335,,,
expert_family,gradient_specific_experts,full_expert,2.5e-06,8,0.7916666666666666,0.0022989511489868164,0.0033545494079589844,12582912,-0.0022989511489868164,0.005653500556945801,0.001055598258972168,0.002959823083780138,-0.0013186942431149767,1.1300069093704224,1.7456531524658203,0.037707152805570354,63.066853523254395,40.95902729034424
expert_family,gradient_specific_experts,full_expert,5e-06,0,0.7916666666666666,0.0,0.0,12582912,0.0,0.0,0.0,0.0,0.0,1.1333614587783813,1.7433542013168335,,,
expert_family,gradient_specific_experts,full_expert,5e-06,8,0.7916666666666666,0.006341814994812012,0.014481306076049805,12582912,0.006341814994812012,0.008139491081237793,0.008139491081237793,0.012777305919383213,0.003637708843115045,1.1188801527023315,1.7370123863220215,0.07497436264845007,63.066853523254395,40.778560400009155
expert_family,gradient_specific_experts,full_expert,1e-05,0,0.7916666666666666,0.0,0.0,12582912,0.0,0.0,0.0,0.0,0.0,1.1333614587783813,1.7433542013168335,,,
expert_family,gradient_specific_experts,full_expert,1e-05,8,0.7916666666666666,0.0006690025329589844,0.03727161884307861,12582912,0.0006690025329589844,0.03660261631011963,0.03660261631011963,0.03288590639322838,0.00038374446939907955,1.0960898399353027,1.7426851987838745,0.1497052824169566,63.066853523254395,40.67670941352844
lora_family,standard_lora,lora,1e-05,0,0.7916666666666666,0.0,0.0,12288000,0.0,0.0,0.0,0.0,0.0,1.1333614587783813,1.7433542013168335,,,
lora_family,standard_lora,lora,1e-05,8,0.8541666666666666,0.0027844905853271484,0.0013470649719238281,12288000,0.0027844905853271484,-0.0014374256134033203,-0.0014374256134033203,0.0011885572440197426,0.0015972030142950284,1.1320143938064575,1.7405697107315063,0.12863617535835314,62.99493598937988,43.8517804145813
lora_family,standard_lora,lora,2.5e-05,0,0.7916666666666666,0.0,0.0,12288000,0.0,0.0,0.0,0.0,0.0,1.1333614587783813,1.7433542013168335,,,
lora_family,standard_lora,lora,2.5e-05,8,0.8541666666666666,0.008652091026306152,0.0055811405181884766,12288000,0.008652091026306152,-0.0030709505081176758,-0.0030709505081176758,0.004924413544293479,0.004962899116984282,1.1277803182601929,1.7347021102905273,0.3884841976829455,62.99493598937988,43.74717569351196
lora_family,standard_lora,lora,5e-05,0,0.7916666666666666,0.0,0.0,12288000,0.0,0.0,0.0,0.0,0.0,1.1333614587783813,1.7433542013168335,,,
lora_family,standard_lora,lora,5e-05,8,0.8125,0.048371076583862305,0.04652070999145508,12288000,0.048371076583862305,-0.0018503665924072266,-0.0018503665924072266,0.041046666649136324,0.027745983316141646,1.0868407487869263,1.6949831247329712,0.875598640305741,62.99493598937988,43.614821434020996
lora_family,standard_lora,lora,0.0001,0,0.7916666666666666,0.0,0.0,12288000,0.0,0.0,0.0,0.0,0.0,1.1333614587783813,1.7433542013168335,,,
lora_family,standard_lora,lora,0.0001,8,0.7708333333333334,0.20564556121826172,0.20229142904281616,12288000,0.20564556121826172,-0.0033541321754455566,-0.0033541321754455566,0.1784880079307271,0.11795971298484749,0.9310700297355652,1.5377086400985718,1.6782623413752855,62.99493598937988,43.71263265609741
