epoch,update_step,raw_step,accumulated_examples,loss,grad_norm
0,1,8,8,0.6574124097824097,0.28515625
0,2,16,8,1.2572402954101562,0.248046875
0,3,24,8,0.8138349652290344,0.197265625
0,4,32,8,0.5332257747650146,0.2392578125
0,5,40,8,0.7671197056770325,0.24609375
0,6,48,8,0.8969969749450684,0.265625
0,7,56,8,0.6779376268386841,0.21484375
0,8,64,8,1.2589226961135864,0.3046875
0,9,72,8,1.5957777500152588,0.27734375
0,10,80,8,1.0509417057037354,0.27734375
0,11,88,8,1.16177499294281,0.21484375
0,12,96,8,0.5864542126655579,0.28125
0,13,104,8,1.2456395626068115,0.275390625
0,14,112,8,0.8659965991973877,0.236328125
0,15,120,8,1.3480273485183716,0.2421875
0,16,128,8,1.16537606716156,0.26171875
0,17,136,8,1.0415513515472412,0.240234375
0,18,144,8,1.1063878536224365,0.2890625
0,19,152,8,0.9571564197540283,0.27734375
0,20,160,8,0.7949075102806091,0.263671875
0,21,168,8,0.768777072429657,0.30859375
0,22,176,8,0.8122100234031677,0.279296875
0,23,184,8,0.8013408184051514,0.2734375
0,24,192,8,1.3969584703445435,0.318359375
0,25,200,8,0.8048166632652283,0.2734375
0,26,208,8,0.8657283186912537,0.287109375
0,27,216,8,1.2298067808151245,0.310546875
0,28,224,8,0.5850716233253479,0.30859375
0,29,232,8,0.7749078869819641,0.25
0,30,240,8,0.7609703540802002,0.265625
0,31,248,8,0.45532193779945374,0.2578125
0,32,256,8,0.9361361265182495,0.318359375
1,33,264,8,1.589756965637207,0.306640625
1,34,272,8,0.7592675685882568,0.251953125
1,35,280,8,1.1631499528884888,0.34765625
1,36,288,8,0.8181853294372559,0.34765625
1,37,296,8,1.2048951387405396,0.33984375
1,38,304,8,0.5122812390327454,0.2490234375
1,39,312,8,0.9587161540985107,0.345703125
1,40,320,8,1.1266999244689941,0.263671875
1,41,328,8,1.1203068494796753,0.32421875
1,42,336,8,1.0378552675247192,0.21875
1,43,344,8,0.851672351360321,0.294921875
1,44,352,8,1.6799622774124146,0.3984375
1,45,360,8,0.5623522996902466,0.330078125
1,46,368,8,1.0510931015014648,0.345703125
1,47,376,8,0.7526546716690063,0.365234375
1,48,384,8,0.8629898428916931,0.314453125
1,49,392,8,0.730556845664978,0.357421875
1,50,400,8,1.0850095748901367,0.3125
1,51,408,8,0.6161467432975769,0.310546875
1,52,416,8,1.0934478044509888,0.291015625
1,53,424,8,0.8366341590881348,0.302734375
1,54,432,8,1.2992196083068848,0.375
1,55,440,8,1.2282061576843262,0.41015625
1,56,448,8,0.9263508319854736,0.30859375
1,57,456,8,1.087307333946228,0.29296875
1,58,464,8,0.933645486831665,0.33203125
1,59,472,8,0.9218640327453613,0.33984375
1,60,480,8,1.3241482973098755,0.34765625
1,61,488,8,0.5879201292991638,0.3046875
1,62,496,8,0.7728714942932129,0.30859375
1,63,504,8,1.29630446434021,0.376953125
1,64,512,8,1.5818365812301636,0.388671875
