epoch,update_step,raw_step,accumulated_examples,loss,grad_norm
0,1,8,8,0.6574124097824097,0.330078125
0,2,16,8,1.2626336812973022,0.29296875
0,3,24,8,0.8054161667823792,0.2421875
0,4,32,8,0.5360272526741028,0.287109375
0,5,40,8,0.7405487895011902,0.28125
0,6,48,8,0.9115207195281982,0.3125
0,7,56,8,0.6637596487998962,0.26171875
0,8,64,8,1.2272348403930664,0.33984375
0,9,72,8,1.6254678964614868,0.33203125
0,10,80,8,1.0652718544006348,0.318359375
0,11,88,8,1.1636312007904053,0.236328125
0,12,96,8,0.6090760827064514,0.306640625
0,13,104,8,1.2148929834365845,0.322265625
0,14,112,8,0.8851146101951599,0.2734375
0,15,120,8,1.3314483165740967,0.28125
0,16,128,8,1.1726309061050415,0.291015625
0,17,136,8,1.0438836812973022,0.2734375
0,18,144,8,1.1465836763381958,0.330078125
0,19,152,8,0.9118351340293884,0.3125
0,20,160,8,0.7972217798233032,0.298828125
0,21,168,8,0.7978885173797607,0.373046875
0,22,176,8,0.8031548261642456,0.33203125
0,23,184,8,0.829065203666687,0.32421875
0,24,192,8,1.4291828870773315,0.357421875
0,25,200,8,0.8228374719619751,0.3125
0,26,208,8,0.8464045524597168,0.3359375
0,27,216,8,1.2029184103012085,0.345703125
0,28,224,8,0.5520896911621094,0.3515625
0,29,232,8,0.7317916750907898,0.283203125
0,30,240,8,0.7654398679733276,0.314453125
0,31,248,8,0.43332380056381226,0.3046875
0,32,256,8,0.8987639546394348,0.37109375
1,33,264,8,1.5282701253890991,0.341796875
1,34,272,8,0.7669262886047363,0.296875
1,35,280,8,1.0832544565200806,0.390625
1,36,288,8,0.8037590980529785,0.384765625
1,37,296,8,1.063068151473999,0.388671875
1,38,304,8,0.49539104104042053,0.291015625
1,39,312,8,0.8887016177177429,0.390625
1,40,320,8,1.0525763034820557,0.294921875
1,41,328,8,1.0500340461730957,0.349609375
1,42,336,8,1.0086795091629028,0.2412109375
1,43,344,8,0.8138942122459412,0.337890625
1,44,352,8,1.613147258758545,0.4375
1,45,360,8,0.5171674489974976,0.36328125
1,46,368,8,0.9975677728652954,0.388671875
1,47,376,8,0.7096818685531616,0.41015625
1,48,384,8,0.8444411158561707,0.349609375
1,49,392,8,0.7089146375656128,0.375
1,50,400,8,1.0177465677261353,0.349609375
1,51,408,8,0.5978561639785767,0.3359375
1,52,416,8,1.07802414894104,0.322265625
1,53,424,8,0.7666306495666504,0.34375
1,54,432,8,1.198218822479248,0.431640625
1,55,440,8,1.151403784751892,0.4765625
1,56,448,8,0.8404935002326965,0.3515625
1,57,456,8,1.044118881225586,0.314453125
1,58,464,8,0.844698965549469,0.34375
1,59,472,8,0.8666439652442932,0.37109375
1,60,480,8,1.267026662826538,0.390625
1,61,488,8,0.570751965045929,0.322265625
1,62,496,8,0.7407962083816528,0.330078125
1,63,504,8,1.2478433847427368,0.423828125
1,64,512,8,1.4694275856018066,0.412109375
