layer,expert,precise_target_grad_l2,precise_control_grad_l2,precise_grad_dot,precise_grad_cosine,precise_grad_specific,precise_grad_ratio,precise_target_orthogonal_l2,precise_target_orthogonal_fraction,precise_abs_grad_cosine
8,184,0.31295111550086824,0.009140296049673955,2.939627847808879e-06,0.0010276745143454257,0.30609589346361277,34.23861916133372,0.3129509502446554,0.9999994719424069,0.0010276745143454257
15,23,0.2568547202084807,0.044147694995226,0.0001449738338124007,0.012784802967668025,0.2237439489620612,5.818077710069306,0.2568337277461927,0.9999182710667298,0.012784802967668025
15,99,0.079165744645413,0.0,0.0,0.0,0.079165744645413,79165744645.413,0.079165744645413,1.0,0.0
15,174,0.08300430627037383,0.0,0.0,0.0,0.08300430627037383,83004306270.37384,0.08300430627037383,1.0,0.0
17,88,0.4392635741986024,0.4616459477663756,0.01332930475473404,0.06573146000482323,0.0930291133738207,0.9515161485181027,0.4383136004139927,0.9978373490532584,0.06573146000482323
17,99,0.09772230894290293,0.0,0.0,0.0,0.09772230894290293,97722308942.90294,0.09772230894290293,1.0,0.0
18,43,0.534214011698772,1.0727833538502056,0.06131753697991371,0.10699350156143521,-0.27037350368888224,0.49797007921588904,0.5311474736404247,0.9942597199040214,0.10699350156143521
18,95,0.07407506724964318,0.0,0.0,0.0,0.07407506724964318,74075067249.64317,0.07407506724964318,1.0,0.0
18,117,0.07932156562463434,0.0,0.0,0.0,0.07932156562463434,79321565624.63434,0.07932156562463434,1.0,0.0
18,230,0.37571256707808914,0.08202685191080916,0.0007866552623454481,0.02552540762175843,0.31419242814498227,4.580360678501169,0.3755901500430518,0.999674173701483,0.02552540762175843
19,34,0.4410581735472013,0.059644378479972976,0.00013430313583739917,0.005105294047316228,0.39632488968722157,7.394798718338599,0.44105242563360736,0.9999869679014274,0.005105294047316228
19,64,0.32485280027530083,0.07443706345960648,-7.854581417632289e-05,-0.0032482331863053987,0.269025002680596,4.364127024532868,0.3248510865067735,0.999994724476668,0.0032482331863053987
20,47,0.43823733951285265,0.6320696108272933,0.08520389068871737,0.30759915472840077,-0.035814868607617345,0.6933371451580566,0.41698985456493975,0.9515160324505171,0.30759915472840077
20,76,0.3051015656828053,0.09059659516846363,4.8488594984519295e-05,0.001754216887668044,0.23715411930645755,3.367693511131447,0.3051010962414457,0.9999984613603718,0.001754216887668044
20,219,0.5619002031905022,0.9564484359194776,0.10558802261948586,0.1964689419550542,-0.1554361237491061,0.5874861436202092,0.5509487953786358,0.9805100483151926,0.1964689419550542
21,36,0.48904827907715,0.9893855683659316,0.07878057472407818,0.16281778360822344,-0.2529908971972987,0.49429493891281173,0.48252249492653243,0.9866561555784801,0.16281778360822344
21,183,0.5826154759350253,0.05819725152596835,-6.114368443377316e-05,-0.00180329639236002,0.538967537290549,10.011047955847946,0.5826145286370661,0.9999983740597387,0.00180329639236002
22,204,0.4280173354270136,0.6440012746970077,0.053805059753358364,0.19519785098666104,-0.054983620595742244,0.6646218761410437,0.41978394492619847,0.9807638854332826,0.19519785098666104
23,209,0.29672308222102495,0.005942882240479045,3.568877332327247e-06,0.0020238725709972494,0.2922659205406657,49.92915392972308,0.2967224745226013,0.9999979519678109,0.0020238725709972494
24,52,0.3971268376742246,0.2415921831584704,0.0005336615140549839,0.005562291797153637,0.2159327003053718,1.643790094864488,0.39712069425521285,0.9999845303353263,0.005562291797153637
24,153,0.4985800936749499,0.8032912297529532,0.08080495707690716,0.20175766527775957,-0.10388832863976499,0.6206716508378464,0.4883270295539008,0.9794354723521441,0.20175766527775957
