epoch,update_step,raw_step,accumulated_examples,loss,grad_norm
0,1,8,8,0.6574124097824097,1.6504942178726196
0,2,16,8,1.2702752351760864,1.3686373233795166
0,3,24,8,0.8068182468414307,1.1051273345947266
0,4,32,8,0.5094284415245056,1.412776231765747
0,5,40,8,0.7241708636283875,1.395291805267334
0,6,48,8,0.9032504558563232,1.2900609970092773
0,7,56,8,0.6409165263175964,1.125370740890503
0,8,64,8,1.154430866241455,1.5718384981155396
0,9,72,8,1.55697500705719,1.3125821352005005
0,10,80,8,0.9536294937133789,1.3846988677978516
0,11,88,8,1.0864726305007935,1.0126861333847046
0,12,96,8,0.5776348114013672,1.249011516571045
0,13,104,8,1.126837968826294,1.17863929271698
0,14,112,8,0.8267377018928528,1.0668559074401855
0,15,120,8,1.2786428928375244,1.068137526512146
0,16,128,8,1.1066927909851074,1.0575122833251953
0,17,136,8,0.9693354368209839,0.9422532320022583
0,18,144,8,0.9857595562934875,0.9953928589820862
0,19,152,8,0.8352434635162354,1.0797581672668457
0,20,160,8,0.7065370678901672,0.9843542575836182
0,21,168,8,0.7395832538604736,1.354480266571045
0,22,176,8,0.7542901039123535,1.0255944728851318
0,23,184,8,0.7736836671829224,1.0438003540039062
0,24,192,8,1.2845616340637207,1.2524018287658691
0,25,200,8,0.6430679559707642,0.8903326392173767
0,26,208,8,0.708319365978241,0.9934511780738831
0,27,216,8,0.9616215229034424,1.041303277015686
0,28,224,8,0.41711610555648804,1.2265135049819946
0,29,232,8,0.6508731842041016,0.915836751461029
0,30,240,8,0.726548969745636,0.9708864688873291
0,31,248,8,0.40401414036750793,0.8515744805335999
0,32,256,8,0.8155723214149475,1.0593498945236206
1,33,264,8,1.2763917446136475,1.0763500928878784
1,34,272,8,0.6212164759635925,0.9116002321243286
1,35,280,8,0.8497896194458008,1.1387821435928345
1,36,288,8,0.6522966623306274,1.0483238697052002
1,37,296,8,0.70900958776474,1.2041420936584473
1,38,304,8,0.4092541038990021,0.7739865183830261
1,39,312,8,0.7407935857772827,1.0709879398345947
1,40,320,8,0.9301126599311829,0.8654846549034119
1,41,328,8,0.7687714695930481,0.935958743095398
1,42,336,8,0.8257858157157898,0.5933030247688293
1,43,344,8,0.6334897875785828,0.8482168912887573
1,44,352,8,1.263161540031433,1.1094660758972168
1,45,360,8,0.3760110139846802,0.9466156363487244
1,46,368,8,0.6966665387153625,0.986443042755127
1,47,376,8,0.5233149528503418,1.0333768129348755
1,48,384,8,0.5686765313148499,0.8582466244697571
1,49,392,8,0.5963895916938782,1.009045124053955
1,50,400,8,0.6604083776473999,0.9585805535316467
1,51,408,8,0.4432452619075775,0.9220523238182068
1,52,416,8,0.8711367845535278,0.8931643962860107
1,53,424,8,0.5611496567726135,0.9248107075691223
1,54,432,8,0.92081618309021,1.1173856258392334
1,55,440,8,0.9448301792144775,1.6446589231491089
1,56,448,8,0.5192862153053284,0.7849823832511902
1,57,456,8,0.8091006875038147,0.9436238408088684
1,58,464,8,0.7313849925994873,0.8905218243598938
1,59,472,8,0.6843246221542358,0.8869316577911377
1,60,480,8,0.9154618978500366,1.2581621408462524
1,61,488,8,0.45978498458862305,0.7355688214302063
1,62,496,8,0.5487889051437378,0.821574330329895
1,63,504,8,1.0991230010986328,1.1290777921676636
1,64,512,8,1.1809478998184204,1.0005145072937012
