method,family,lr,updates,generation_accuracy,control_abs_shift,target_improvement,trainable_params,control_improvement,specific_gain,selective_target_gain,relative_target_improvement,relative_control_improvement,target_nll,control_nll,parameter_delta_l2,peak_gpu_gib,train_wall_seconds
gradient_experts,full_expert,1e-05,0,0.8125,0.0,0.0,12582912,0.0,0.0,0.0,0.0,0.0,0.9735890626907349,1.7376070022583008,,,
gradient_experts,full_expert,1e-05,1,0.796875,0.006443142890930176,0.0008439421653747559,12582912,-0.006443142890930176,0.007287085056304932,-0.00559920072555542,0.0008668361197919887,-0.0037080553212298704,0.9727451205253601,1.744050145149231,0.034789315642816274,63.13094615936279,325.7384967803955
gradient_experts,full_expert,1e-05,2,0.78125,7.903575897216797e-05,0.0026703476905822754,12582912,-7.903575897216797e-05,0.0027493834495544434,0.0025913119316101074,0.0027427872733103245,-4.548540542795249e-05,0.9709187150001526,1.737686038017273,0.057736793429182885,63.13094615936279,325.7384967803955
gradient_experts,full_expert,1e-05,4,0.796875,0.00836181640625,0.016513705253601074,12582912,0.00836181640625,0.008151888847351074,0.008151888847351074,0.01696167909688888,0.004812259846664102,0.9570753574371338,1.7292451858520508,0.0983775975074227,63.13094615936279,325.7384967803955
gradient_experts,full_expert,1e-05,8,0.796875,0.030221104621887207,0.04989826679229736,12582912,0.030221104621887207,0.019677162170410156,0.019677162170410156,0.051251876900087756,0.0173923704166765,0.9236907958984375,1.7073858976364136,0.1738168051066311,63.13094615936279,325.7384967803955
gradient_experts,full_expert,1e-05,16,0.8125,0.06548810005187988,0.09771895408630371,12582912,0.06548810005187988,0.03223085403442383,0.03223085403442383,0.10036981497741475,0.037688671815184635,0.8758701086044312,1.672118902206421,0.3106816766974356,63.13094615936279,325.7384967803955
gradient_experts,full_expert,1e-05,32,0.8125,0.11083579063415527,0.17439156770706177,12582912,0.11083579063415527,0.0635557770729065,0.0635557770729065,0.17912235704979163,0.06378645487161727,0.7991974949836731,1.6267712116241455,0.5510242100450733,63.13094615936279,325.7384967803955
gradient_experts,full_expert,1e-05,64,0.796875,0.20563054084777832,0.3335844874382019,12582912,0.20563054084777832,0.12795394659042358,0.12795394659042358,0.34263376636161597,0.11834122478818757,0.640004575252533,1.5319764614105225,0.9848246758326806,63.13094615936279,325.7384967803955
gradient_specific_experts,full_expert,1e-05,0,0.8125,0.0,0.0,12582912,0.0,0.0,0.0,0.0,0.0,0.9735890626907349,1.7376070022583008,,,
gradient_specific_experts,full_expert,1e-05,1,0.796875,0.004485607147216797,0.0017734766006469727,12582912,-0.004485607147216797,0.0062590837478637695,-0.0027121305465698242,0.001821586404992643,-0.0025814854229909445,0.9718155860900879,1.7420926094055176,0.03544726628697971,63.13094615936279,325.4092786312103
