layer,attention_target_grad_l2,attention_control_grad_l2,attention_grad_dot,attention_grad_cosine,attention_abs_grad_cosine,attention_target_orthogonal_l2,attention_target_orthogonal_fraction,attention_grad_ratio
0,0.35309034922321236,0.6179529194064086,0.01387791903107427,0.06360380736157327,0.06360380736157327,0.3523754217684166,0.9979752279937172,0.5713871366799456
1,0.3327109357337308,0.6488849133323247,0.015520034517976455,0.0718882530889299,0.0718882530889299,0.33185011021898414,0.9974126924537414,0.5127425971804357
2,0.29610581063628927,0.558398861332853,0.016837537375977263,0.1018326671888265,0.1018326671888265,0.2945665170053703,0.9948015419636269,0.5302765301651553
3,0.31295914689181015,0.6182481032911769,0.019057201578107197,0.09849375294187276,0.09849375294187276,0.311437435988116,0.9951376691852366,0.5062031654044709
4,0.2573097241208277,0.48011188900492624,0.010934783320408314,0.0885139092496467,0.0885139092496467,0.2562997682441181,0.9960749408901649,0.5359369972145214
5,0.2730747285778903,0.5146414215217697,0.008144302919390611,0.05795189874276166,0.05795189874276166,0.27261579276313697,0.9983193764683267,0.530611639789683
6,0.2923490399354047,0.5339293355279601,0.011578978039324284,0.07417964924397275,0.07417964924397275,0.29154358749220916,0.9972448945159065,0.5475425688041219
7,0.34423310803523555,0.6089685495203209,0.022465743124485016,0.1071700138631477,0.1071700138631477,0.3422505695146699,0.9942407093498901,0.5652723910057746
8,0.26447589200821414,0.46129258064920237,0.01410400505119469,0.11560587222204426,0.11560587222204426,0.2627026244573829,0.9932951637392486,0.5733365397627453
9,0.4075040186524066,0.7650026850345496,0.028816949197789654,0.09243855446974157,0.09243855446974157,0.4057592456705474,0.9957183907348225,0.5326831220644277
10,0.39712577942322796,0.7424129808634372,0.025113968171353918,0.08518079763757458,0.08518079763757458,0.39568243018685983,0.996365511102139,0.534912224946323
11,0.44327619167180826,0.8552352954698904,0.03757740950095467,0.09912126037868543,0.09912126037868543,0.44109321682286706,0.9950753618399667,0.5183090478366442
12,0.5721342046554384,1.0895121729712558,0.06124253070447594,0.09824786670391071,0.09824786670391071,0.5693662051280929,0.9951619751016066,0.5251287859360224
13,0.6064583528194721,1.2432822780334012,0.08246029762085527,0.10936394624486023,0.10936394624486023,0.6028206787264198,0.9940017742749514,0.487788142350318
14,0.7211311059432255,1.5156718522135122,0.11280442110728472,0.10320641833035196,0.10320641833035196,0.7172802366979727,0.9946599595919303,0.4757831353070243
15,0.9635891208905537,2.0639118614643213,0.19654760346747935,0.09882907207547127,0.09882907207547127,0.9588717970430273,0.9951044239237916,0.46687513109519685
16,1.3174761547504055,2.7209654145557525,0.4644751437008381,0.12956768300721008,0.12956768300721008,1.306370595166839,0.9915705802009976,0.48419437737139465
17,1.112954973627998,2.354186830532738,0.3750516567379236,0.1431438084350374,0.1431438084350374,1.1014936515885008,0.9897018996176137,0.47275558557757724
18,1.294572573078809,2.740795200460931,0.6170714218169451,0.17391316015874098,0.17391316015874098,1.2748445721742077,0.9847609926899012,0.47233466143717084
19,1.4724690801534743,2.9975952951508757,0.8503976399078965,0.19266501641901526,0.19266501641901526,1.4448817651185635,0.9812645878906772,0.49121677050099266
20,1.9147298233462375,3.846750778312205,1.8253170251846313,0.2478202281486518,0.2478202281486518,1.8550018093076361,0.9688060355511573,0.4977525017063476
21,1.4763888453744447,3.0077176661217897,1.076219005510211,0.24236105550670234,0.24236105550670234,1.4323719741281735,0.9701861258406436,0.49086683301549333
22,1.2511491142820454,2.7183283884524663,0.6532767862081528,0.19208180698332925,0.19208180698332925,1.2278513632219623,0.9813789173535464,0.46026415336590715
