epoch,update_step,raw_step,accumulated_examples,loss,grad_norm
0,1,8,8,1.0125007629394531,0.267578125
0,2,16,8,0.9172947406768799,0.255859375
0,3,24,8,0.7836059927940369,0.2177734375
0,4,32,8,0.5852653980255127,0.2236328125
0,5,40,8,1.0669522285461426,0.287109375
0,6,48,8,0.5737085938453674,0.251953125
0,7,56,8,0.7103611826896667,0.2353515625
0,8,64,8,0.8213178515434265,0.21875
0,9,72,8,0.7789270281791687,0.275390625
0,10,80,8,1.0395677089691162,0.2578125
0,11,88,8,1.1712629795074463,0.310546875
0,12,96,8,0.9821109771728516,0.240234375
0,13,104,8,0.957190752029419,0.2490234375
0,14,112,8,1.3589566946029663,0.400390625
0,15,120,8,0.5965348482131958,0.283203125
0,16,128,8,1.2301452159881592,0.27734375
