method,family,n_runs,selected_updates,lr,trainable_params,generation_accuracy_mean,generation_accuracy_std,generation_accuracy_gain_mean,target_improvement_mean,control_abs_shift_mean,selective_target_gain_mean,parameter_delta_l2_mean,train_wall_seconds_mean,paired_mean_accuracy_gain,paired_two_way_ci_low,paired_two_way_ci_high,positive_seed_count,nonnegative_seed_count
random_layer_lora,lora,3,8,1e-05,12533760.0,0.78125,0.023867581744561668,0.020833333333333332,0.004634420077005967,0.0045104026794433,0.00012401739756266665,0.13429771741705765,41.263721545537315,0.02083333333333333,-0.02604166666666674,0.06597222222222232,2,3
contrastive_experts,full_expert,3,8,1e-05,12582912.0,0.7795138888888888,0.013107351450122772,0.0190972222222222,0.05797594785690304,0.0338345368703206,0.0241414109865824,0.174896653270082,40.75954031944275,0.01909722222222221,-0.02951388888888895,0.06770833333333326,3,3
contrastive_lora,lora,3,4,1e-05,12644352.0,0.7777777777777777,0.013107351450122845,0.0173611111111111,0.0022396643956501664,0.004811763763427668,-0.0025720993677774665,0.07092132035268303,20.64607524871826,0.017361111111111105,-0.02256944444444442,0.05902777777777768,3,3
gradient_specific_experts,full_expert,3,8,1e-05,12582912.0,0.765625,0.009021097956087886,0.005208333333333333,0.03639972209930414,0.0037083625793456667,0.032691359519958434,0.15097673474477688,40.84370001157125,0.005208333333333326,-0.03125,0.04166666666666663,1,3
standard_lora,lora,3,16,1e-05,12288000.0,0.7621527777777778,0.007955860581520563,0.0017361111111111667,0.0021369854609171,0.005787253379821733,-0.0036502679189046,0.25550042907221143,87.55432478586833,0.0017361111111111073,-0.03993055555555569,0.04513888888888884,1,2
gradient_experts,full_expert,3,0,1e-05,12582912.0,0.7604166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
