epoch,update_step,raw_step,accumulated_examples,loss,grad_norm
0,1,8,8,1.2179350852966309,0.263671875
0,2,16,8,0.9573450684547424,0.251953125
0,3,24,8,1.0909667015075684,0.2412109375
0,4,32,8,0.8130654096603394,0.263671875
0,5,40,8,0.824131190776825,0.2373046875
0,6,48,8,1.1435317993164062,0.216796875
0,7,56,8,1.2032115459442139,0.2412109375
0,8,64,8,1.063559889793396,0.287109375
0,9,72,8,1.252151608467102,0.267578125
0,10,80,8,0.7948307394981384,0.298828125
0,11,88,8,0.9156484007835388,0.2734375
0,12,96,8,0.9603759050369263,0.2392578125
0,13,104,8,0.8035072684288025,0.2890625
0,14,112,8,0.96537846326828,0.2451171875
0,15,120,8,0.3486093282699585,0.2431640625
0,16,128,8,1.3595263957977295,0.27734375
