protocol,seed,mean_advantage_a_over_b,ci_low,ci_high,p_a_gt_b
natural,11,-0.759315550327301,-0.8489987403154373,-0.6721998780965807,0.0
natural,23,-0.7656198143959045,-0.8534275248646737,-0.6832356944680215,0.0
natural,47,-0.7644606232643127,-0.8520202621817589,-0.6783778190612794,0.0
forced_lowest_slot,11,-0.7712195515632629,-0.8593926757574082,-0.6855715572834017,0.0
forced_lowest_slot,23,-0.7697387933731079,-0.8575545862317085,-0.6862695589661598,0.0
forced_lowest_slot,47,-0.7657761573791504,-0.8531836062669754,-0.6788405627012255,0.0
