layer,expert,gradient_l2,nonzero_grad_tensors,selection_supervised_selected_rate,selection_supervised_routing_mass,gradient_per_sqrt_selected_rate
25,168,10.286366775040838,2,0.3105590062111801,0.06997282608695653,18.4582252507314
29,194,10.215510143475708,2,0.34782608695652173,0.07231111704192547,17.3212401847539
24,153,8.894264052996942,2,0.32298136645962733,0.05153945069875776,15.650250194703085
27,146,7.561443412679506,2,0.32298136645962733,0.06885675465838509,13.305033506583312
15,244,6.16500851100758,2,0.40372670807453415,0.10193250194099379,9.702640497441237
16,59,6.079509116609497,2,0.45962732919254656,0.1232121627523292,8.967380381384865
33,234,5.981251910138598,2,0.3105590062111801,0.07107070069875776,10.732972822492748
24,206,5.943840095166112,2,0.3105590062111801,0.041173330745341616,10.665839720698592
38,210,5.452672158050353,2,0.39751552795031053,0.06917368255046584,8.648331685009016
16,17,5.044158582434591,2,0.32919254658385094,0.045473845108695655,8.791515275584745
27,40,4.159071975320015,2,0.0,0.0,41590.719753200145
25,196,3.924489582185481,2,0.3167701863354037,0.038189052795031056,6.972861363592399
33,206,3.702100523545787,2,0.32919254658385094,0.04858246797360249,6.452428640495684
24,146,3.4299703494422484,2,0.4409937888198758,0.051915518245341616,5.16504523559337
33,166,3.420940672243208,2,0.2857142857142857,0.03691830842391304,6.399993968007106
15,12,2.881517651883968,2,0.33540372670807456,0.04677795031055901,4.975507010228803
16,169,2.4972100425774917,2,0.024844720496894408,0.0029023922748447205,15.843021630016876
25,46,2.375692367020041,2,0.14285714285714285,0.013347365100931678,6.285491194729414
38,60,2.162060248584417,2,0.34782608695652173,0.11850980201863354,3.6659515123243405
25,224,2.0836817227569577,2,0.30434782608695654,0.027756211180124224,3.776993872688442
33,142,2.0157006123872616,2,0.3416149068322981,0.03957656007375776,3.448717501710717
13,197,1.8248956964028475,2,0.0,0.0,18248.956964028475
27,192,1.6550849559679883,2,0.16770186335403728,0.047154017857142856,4.041581557165374
20,34,1.5369658930313166,2,0.006211180124223602,0.0003700019409937888,19.501910910754106
27,118,1.536822707941463,2,0.13664596273291926,0.011324485636645962,4.1574340301920145
14,88,1.307268616167888,2,0.055900621118012424,0.005804784549689441,5.529126400814129
17,27,1.2255161706284798,2,0.0,0.0,12255.161706284798
36,229,1.1826683430274543,2,0.19875776397515527,0.052673718944099376,2.6527780835939705
12,138,1.1745511841385956,2,0.32919254658385094,0.028570518730590064,2.047137200101007
8,65,1.0149495886747482,2,0.32298136645962733,0.03925053377329193,1.785894246350666
6,179,0.9377518315634236,2,0.37888198757763975,0.041904236218944096,1.5234771386626371
36,13,0.9279465603363304,2,0.08695652173913043,0.008174919934006212,3.146819889453527
11,180,0.917572471630468,2,0.32298136645962733,0.028637240392080744,1.6145505313562405
28,223,0.8283286653946178,2,0.037267080745341616,0.004000266886645963,4.290817110299292
34,228,0.7687234463021194,2,0.08695652173913043,0.007516801727484472,2.6068680392931256
3,114,0.746049395336274,2,0.006211180124223602,0.0005216420807453416,9.466305601729792
32,240,0.6161072850899226,2,0.18012422360248448,0.018345424107142856,1.4516779597427214
4,75,0.5609833881873226,2,0.3105590062111801,0.047141886645962736,1.0066486999282587
38,149,0.007860305787961914,2,0.006211180124223602,0.0004397564052795031,0.09973609948219891
