selector,module_type,budget_k,protocol,lr,n_runs,target_improvement_mean,target_improvement_std,control_improvement_mean,specific_gain_mean,specific_gain_std,utility_score_mean,target_token_acc_mean,target_seq_exact_mean,parameter_delta_mean,mean_grad_norm
causal_k4,routed,4,natural,1e-05,3,1.067177136739095,0.00714091006032329,0.8634668986002604,0.20371023813883463,0.004896345945607474,1.067177136739095,0.6362857222557068,0.0,0.004571936901291311,7.88875486976222
causal_routed,routed,1,forced_lowest_slot,1e-05,3,0.022312005360921223,0.001018418609909157,0.020187218983968098,0.002124786376953125,0.0016610156821072817,0.022312005360921223,0.6212856769561768,0.0,0.004191964852880036,1.9491431734018159
causal_routed,routed,1,natural,1e-05,3,0.03149255116780599,0.002956755997497117,0.029146512349446613,0.002346038818359375,0.003967012541601942,0.03149255116780599,0.6212856769561768,0.0,0.004096850821393238,1.052692577504275
causal_shared,shared,1,always_active_shared,1e-05,3,0.6241426467895508,0.0032972378556142233,0.5130234559377035,0.11111919085184734,0.008360584788731647,0.6241426467895508,0.6212856769561768,0.0,0.005763223579286517,10.918800086305852
gradient_k4,routed,4,natural,1e-05,3,2.7199690341949463,0.0011050588489933562,2.132641394933065,0.5873276392618815,0.017036575734350974,2.7199690341949463,0.6662856936454773,0.07999999821186066,0.004869435404912639,15.353120904219779
gradient_routed,routed,1,natural,1e-05,3,1.0975964069366455,0.009653526981691318,0.8005023797353109,0.29709402720133465,0.002778558090327341,1.0975964069366455,0.6379523873329163,0.0,0.0055504129904978645,11.158540901384855
hybrid_causal_exposure,routed,1,natural,1e-05,3,0.03149255116780599,0.002956755997497117,0.029146512349446613,0.002346038818359375,0.003967012541601942,0.03149255116780599,0.6212856769561768,0.0,0.004096850821393238,1.052692577504275
hybrid_k4,routed,4,natural,1e-05,3,1.0576417446136475,0.002499903707922412,0.8125722408294678,0.2450695037841797,0.0029105267927242717,1.0576417446136475,0.6379523873329163,0.0,0.004368928619653337,7.903419653574626
routing_k4,routed,4,natural,1e-05,3,1.9022427399953206,0.03394182095049035,1.3484268188476562,0.5538159211476644,0.04284833479108958,1.9022427399953206,0.6305714249610901,0.0,0.004818862275442568,10.620659066919695
routing_routed,routed,1,forced_lowest_slot,1e-05,3,0.7912233670552572,0.0037455899127569027,0.662254810333252,0.12896855672200522,0.0070017119719104895,0.7912233670552572,0.6323968370755514,0.0,0.004732137737919658,8.652331084535833
routing_routed,routed,1,natural,1e-05,3,0.7946243286132812,0.004666447400407228,0.6668314139048258,0.1277929147084554,0.007959845839517527,0.7946243286132812,0.6362857222557068,0.0,0.0047802302927666745,8.602440917701053
