selector,module_type,pairs,budget_k,protocol,order_seed,lr,trainable_params,updates,mean_grad_norm,parameter_delta_l2,relative_parameter_delta,peak_gpu_gib,heldout_target_nll,heldout_control_nll,target_improvement,control_improvement,control_damage,utility_score,specific_gain,target_token_acc,control_token_acc,target_seq_exact,control_seq_exact,target_ci_low,target_ci_high,specific_ci_low,specific_ci_high
causal_routed,routed,"[(36, 229)]",1,natural,11,1e-05,3145728,19,1.0509751344981946,0.18233551394961225,0.004076995680198231,63.62277269363403,4.732298374176025,4.091803073883057,0.030604839324951172,0.028343677520751953,-0.028343677520751953,0.030604839324951172,0.0022611618041992188,0.6212856769561768,0.6330000162124634,0.0,0.0,0.018251854836940765,0.0431937106847763,-0.01810440039634705,0.02071990066766738
routing_routed,routed,"[(29, 194)]",1,natural,11,1e-05,3145728,19,8.601552285646138,0.21242710933781167,0.004782533028792495,63.62277269363403,3.9729833602905273,3.449044704437256,0.7899198532104492,0.6711020469665527,-0.6711020469665527,0.7899198532104492,0.11881780624389648,0.6329523921012878,0.6446666717529297,0.0,0.0,0.7018554472029209,0.8807179342210293,-0.026567347884178246,0.25974914932250964
hybrid_causal_exposure,routed,"[(36, 229)]",1,natural,11,1e-05,3145728,19,1.0509751344981946,0.18233551394961225,0.004076995680198231,63.62277269363403,4.732298374176025,4.091803073883057,0.030604839324951172,0.028343677520751953,-0.028343677520751953,0.030604839324951172,0.0022611618041992188,0.6212856769561768,0.6330000162124634,0.0,0.0,0.018251854836940765,0.0431937106847763,-0.01810440039634705,0.02071990066766738
gradient_routed,routed,"[(25, 168)]",1,natural,11,1e-05,3145728,19,11.170002084029349,0.22904235094191558,0.005574436161665004,63.62277269363403,3.6660385131835938,3.3177177906036377,1.0968647003173828,0.8024289608001709,-0.8024289608001709,1.0968647003173828,0.2944357395172119,0.6379523873329163,0.6463333964347839,0.0,0.0,0.9688499980866909,1.2268928728997708,0.11775085464119907,0.4693147526681421
causal_shared,shared,"[(38, 'shared')]",1,always_active_shared,11,1e-05,3145728,19,10.945864928396125,0.20581811051594442,0.005729863113619201,63.62277269363403,4.142521381378174,3.6033055782318115,0.6203818321228027,0.5168411731719971,-0.5168411731719971,0.6203818321228027,0.10354065895080566,0.6212856769561768,0.6330000162124634,0.0,0.0,0.5497174288034439,0.6940007764101028,0.005821669757366211,0.20254626268148423
causal_routed,routed,"[(36, 229)]",1,natural,23,1e-05,3145728,19,1.056932220333501,0.18403999901073492,0.004115107719266385,63.62277269363403,4.733821868896484,4.089487552642822,0.029081344604492188,0.030659198760986328,-0.030659198760986328,0.029081344604492188,-0.0015778541564941406,0.6212856769561768,0.6330000162124634,0.0,0.0,0.01815484017133713,0.040112130224704744,-0.02196844816207886,0.017018825232982638
routing_routed,routed,"[(29, 194)]",1,natural,23,1e-05,3145728,19,8.625567963248805,0.21170454831017596,0.0047662654629871785,63.62277269363403,3.9682018756866455,3.456009864807129,0.794701337814331,0.6641368865966797,-0.6641368865966797,0.794701337814331,0.13056445121765137,0.6379523873329163,0.6363333463668823,0.0,0.0,0.7064431792497635,0.8853722866177559,-0.01717340794205661,0.26959755057096474
hybrid_causal_exposure,routed,"[(36, 229)]",1,natural,23,1e-05,3145728,19,1.056932220333501,0.18403999901073492,0.004115107719266385,63.62277269363403,4.733821868896484,4.089487552642822,0.029081344604492188,0.030659198760986328,-0.030659198760986328,0.029081344604492188,-0.0015778541564941406,0.6212856769561768,0.6330000162124634,0.0,0.0,0.01815484017133713,0.040112130224704744,-0.02196844816207886,0.017018825232982638
gradient_routed,routed,"[(25, 168)]",1,natural,23,1e-05,3145728,19,11.181986331939697,0.22660988279316138,0.00551523471549249,63.62277269363403,3.6745736598968506,3.331796169281006,1.088329553604126,0.7883505821228027,-0.7883505821228027,1.088329553604126,0.29997897148132324,0.6379523873329163,0.6463333964347839,0.0,0.0,0.9610999810397625,1.2172116266489028,0.11920213305950157,0.4718520679175854
causal_shared,shared,"[(38, 'shared')]",1,always_active_shared,23,1e-05,3145728,19,10.926318369413677,0.20750641949688267,0.0057768647080368146,63.62277269363403,4.136366367340088,3.6136975288391113,0.6265368461608887,0.5064492225646973,-0.5064492225646973,0.6265368461608887,0.1200876235961914,0.6212856769561768,0.6396666765213013,0.0,0.0,0.5545477085709571,0.7002959317564964,0.022913542479276627,0.2185820399522781
