layer,expert,target_delta_nll,control_delta_nll,causal_specificity
10,13,0.0037810346111655235,-0.011445257812738419,0.0037810346111655235
10,14,0.003814677009359002,-0.02980847842991352,0.003814677009359002
10,26,0.010821189731359482,-0.0003259301302023232,0.010821189731359482
10,28,0.020620904862880707,-0.02972143329679966,0.020620904862880707
10,31,0.009854399599134922,-0.026485348120331764,0.009854399599134922
10,45,0.0031709533650428057,-0.04479885473847389,0.0031709533650428057
10,57,-0.018699772655963898,-0.03623080998659134,-0.018699772655963898
10,66,-0.019630281254649162,0.017451642081141472,-0.032719012815505266
10,71,0.0064391507767140865,-0.039955057203769684,0.0064391507767140865
10,72,-0.0056675877422094345,-0.02975514903664589,-0.0056675877422094345
10,84,0.004850112833082676,-0.01535803359001875,0.004850112833082676
10,98,-0.005088690668344498,-0.027958450838923454,-0.005088690668344498
10,107,0.013420549221336842,-0.023292023688554764,0.013420549221336842
10,108,0.015000846236944199,-0.022205276414752007,0.015000846236944199
10,117,0.018491465598344803,0.006820354610681534,0.013376199640333652
10,118,-0.008751594461500645,0.005644623190164566,-0.01298506185412407
10,119,0.008754146285355091,-0.04594206437468529,0.008754146285355091
10,126,-0.017233960330486298,-0.009426699951291084,-0.017233960330486298
10,127,0.0028564399108290672,-0.04779386520385742,0.0028564399108290672
10,133,-0.006717252545058727,0.012541952542960644,-0.01612371695227921
10,135,0.010183696635067463,-0.012108409777283669,0.010183696635067463
10,144,0.002361019141972065,-0.026622766628861427,0.002361019141972065
10,155,0.00804497953504324,-0.040262240916490555,0.00804497953504324
10,167,0.015567868016660213,-0.038653548806905746,0.015567868016660213
10,176,-0.001221872284077108,-0.02415110170841217,-0.001221872284077108
10,183,0.002283741720020771,-0.013359300792217255,0.002283741720020771
10,198,0.0002208876539953053,-0.028558209538459778,0.0002208876539953053
10,223,0.0,0.0,0.0
10,233,-0.0059019639156758785,-0.0035740488674491644,-0.0059019639156758785
12,2,0.007309776730835438,0.002573056146502495,0.005379984620958567
