layer,expert,panel_group,selection_supervised_routing_mass,selection_supervised_selected_rate,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,precise_target_grad_l2,precise_control_grad_l2,precise_grad_dot,precise_grad_cosine,precise_grad_specific,precise_grad_ratio
1,174,population_random,0.002538202092511,0.0234948604992657,0.018843051046133,0.0079527711495757,0.0128784726839512,0.0226307721464101,0.0068419987871192,-9.43608540637797e-07,-0.0060940989016907,0.0174992730560707,3.307625863031028
2,55,population_random,0.0078254061123348,0.0469897209985315,0.0146003095433115,0.0087735308334231,0.0080201614182442,0.0285268336142996,0.0076008720703992,-1.3935445167589933e-05,-0.0642693421725669,0.0228261795615002,3.753100084612805
3,90,population_random,0.0130437775330396,0.1174743024963289,0.0830020606517791,0.0870779529213905,0.0176935959607362,0.1095660342266922,0.1157407726319807,-5.879007585463114e-05,-0.0046359815704695,0.0227604547527066,0.946650274870128
4,60,population_random,0.0008546714390602,0.0088105726872246,0.005626137368381,0.0052130632102489,0.0017163399606943,0.0046528752001719,0.0044701135446549,8.054092859310914e-08,0.0038723684561634,0.0013002900416807,1.0408852376232418
5,146,population_random,0.0,0.0,0.0,0.0005474828649312,-0.0004106121486984,0.0,0.0004579207435234,0.0,0.0,-0.0003434405576425,0.0
6,162,population_random,0.0008381802955212,0.0073421439060205,0.0898151993751525,0.1398245394229889,-0.015053205192089,0.0932058396627556,0.1482198336487449,0.0019942710641771,0.1443559679585642,-0.017959035573803,0.628835138777772
7,44,population_random,0.0,0.0,0.0327908806502819,0.0315478220582008,0.0091300141066312,0.0373185951337067,0.0371428263625309,0.0007563531980849,0.5456628829474184,0.0094614753618084,1.0047322400416014
8,156,population_random,0.0,0.0,0.0637468099594116,0.0536814704537391,0.0234857071191072,0.0685047273277231,0.0596339987533507,0.002355329808779,0.5765503691773303,0.0237792282627101,1.1487528718292643
9,235,population_random,0.0042963013950073,0.0381791483113069,0.1439613103866577,0.1663235127925872,0.0192186757922172,0.1571399853145145,0.1857944543347335,0.0147464913316071,0.5050905519036842,0.0177941445634644,0.8457732814272277
10,248,population_random,0.0,0.0,0.0170928761363029,0.016049263998866,0.0050559281371533,0.0186989428863881,0.0175692656828214,0.0001830350884119,0.5571391636854227,0.005521993624272,1.0642984870794552
11,25,population_random,0.0196875573604992,0.1527165932452276,0.0816503167152404,0.1301974505186081,-0.0159977711737155,0.0698856853488447,0.1078369379853215,-0.0002497119967301,-0.0331347448860746,-0.0109920181401463,0.6480681541394413
12,175,population_random,0.008534525284508,0.079295154185022,0.0981358438730239,0.2407252341508865,-0.0824080817401409,0.0838908253886891,0.295819533248957,5.876790601178072e-05,0.0023680938043908,-0.1379738245480286,0.2835878498861817
13,146,population_random,0.0208408618988619,0.1864904552129221,0.1182515174150466,0.3135196268558502,-0.1168882027268409,0.1186830810482063,0.2604115994278325,0.0002684895953279,0.0086871700561363,-0.0766256185226679,0.455751899333659
14,148,population_random,0.0160738459067547,0.1336270190895741,0.233488917350769,0.0780003368854522,0.1749886646866798,0.2802681008605095,0.3478880120467756,0.0005124864146637,0.0052561678206515,0.0193520918254277,0.805627360399013
15,60,population_random,0.0,0.0,0.047812707722187,0.4308348894119262,-0.2753134593367576,0.062281872419634,0.4897962185128806,0.0009672286105342,0.0317067731962719,-0.3050652914650264,0.1271587449339791
16,235,population_random,0.0,0.0,0.0,0.0185066238045692,-0.0138799678534269,0.0,0.0154120560770251,0.0,0.0,-0.0115590420577688,0.0
17,215,population_random,0.0004911492749632,0.0044052863436123,0.0498828589916229,0.0992568135261535,-0.0245597511529922,0.0417021260431762,0.1635667429112407,-4.923109372612089e-06,-0.000721749151432,-0.0809729311402542,0.2549547988832357
18,116,population_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,77,population_random,0.0014024642070484,0.013215859030837,0.0022804250475019,0.0796712264418602,-0.0574729947838932,0.0194113238367909,0.0663838366241713,2.819974270096281e-06,0.0021884047168391,-0.0303765536313375,0.2924103942107888
20,193,population_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,113,population_random,0.0037040542400881,0.0337738619676945,0.0287727285176515,0.0269524119794368,0.0085584195330739,0.027427248361237,0.0302935925425011,9.72526213445235e-05,0.1170491588807914,0.0047070539543611,0.905381173324091
22,194,population_random,0.0,0.0,0.0376200042665004,0.0586320869624614,-0.0063540609553456,0.0322551654547005,0.049160401351645,6.106972705310909e-06,0.0038513348996783,-0.0046151355590332,0.6561208730441968
23,105,population_random,0.0219023896383994,0.1776798825256975,0.0088051808997988,0.4207934439182281,-0.3067899020388722,0.0073760706824474,0.3504155098064043,3.383146349733579e-06,0.0013089178642142,-0.2554355616723557,0.0210494983127358
24,222,population_random,0.0003126147209985,0.0029368575624082,2.0507177396211773e-05,0.0,2.0507177396211773e-05,1.70502178388497e-05,0.0,0.0,0.0,1.70502178388497e-05,17050217.8388497
25,150,population_random,0.0074127690207415,0.0851688693098384,0.3882571458816528,0.2942315936088562,0.1675834506750106,0.5305323943216615,0.2459353133738156,0.0422397824004292,0.3237344167650378,0.3460809092912998,2.157202993915348
26,183,population_random,0.0,0.0,0.1663772165775299,0.1776672899723053,0.0331267490983009,0.1912505893877397,0.1591626725727602,0.0060836498159915,0.1998573857408475,0.0718785849581695,1.2016045363846792
27,228,population_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,99,population_random,0.0,0.0,0.001659526489675,0.031282115727663,-0.0218020603060722,0.0013821758180414,0.0262695071643945,-3.821854122065815e-08,-0.0010525891538637,-0.0183199545552544,0.0526152169258151
29,201,population_random,0.0,0.0,0.0,0.0134489648044109,-0.0100867236033082,0.0,0.0111733572027616,0.0,0.0,-0.0083800179020712,0.0
30,50,population_random,0.0001806855726872,0.0014684287812041,0.0249412581324577,0.3104715347290039,-0.2079123929142952,0.0309429859427961,0.2587345965668016,1.5271169104380533e-05,0.0019074605392593,-0.163107961482305,0.1195935385266018
31,66,population_random,0.0027127931121512,0.0308370044052863,0.1187570840120315,0.7589572072029114,-0.450460821390152,0.1010811591414617,0.7290607897774806,0.0052710990421473,0.0715265406855861,-0.4457144331916488,0.1386457213974906
32,233,population_random,0.0004531479441997,0.0058737151248164,0.0102978870272636,0.0189570877701044,-0.0039199288003146,0.0095483745216724,0.0221326657705933,4.660317426896654e-05,0.2205222056937212,-0.0070511248062726,0.4314154752170642
33,132,population_random,0.0003319738895007,0.0029368575624082,0.0031729573383927,0.006472919601947,-0.0016817323630675,0.0033067548866657,0.0053820756008125,1.512617018306628e-07,0.0084991830788411,-0.0007298018139436,0.6144014189529606
34,23,population_random,0.0024399722375183,0.0337738619676945,0.0129847433418035,0.0065160342492163,0.0080977176548913,0.0116099548274666,0.005491394016077,3.034031053061881e-07,0.0047589033573276,0.0074914093154088,2.1142090316888957
35,88,population_random,0.0002817834526431,0.0029368575624082,0.0123463096097111,0.7362257242202759,-0.5398229835554957,0.0129066878474455,0.6144042636483583,0.0003327543963678,0.0419618642702503,-0.4478965098888232,0.021006833140747
36,172,population_random,0.0,0.0,0.0144081935286521,0.0494166947901248,-0.0226543275639414,0.0162954787830071,0.0433857251069657,0.0006448084022849,0.9120459152274374,-0.0162438150472172,0.3755954001565184
37,150,population_random,0.0,0.0,0.0002566192415542,0.0510682724416255,-0.0380445850896649,0.0002130189910067,0.0425330075573343,5.192993057789864e-08,0.0057315663661706,-0.0316867366769939,0.0050083218477934
38,35,population_random,0.0052664108388399,0.0484581497797356,0.0048479461111128,0.0093442015349864,-0.002160205040127,0.0052477669112927,0.0098147964832633,2.1682768419850618e-05,0.420977510880802,-0.0021133304511547,0.5346791367204405
39,128,population_random,0.0237870405424008,0.1820851688693098,0.0094949696213006,3.21093779120929e-07,0.0094947288009663,0.0079086321627978,2.301818617624344e-06,-1.7906473829751298e-11,-0.0009836432075361,0.0079069057988346,3435.817516821853
21,210,population_random,0.0,0.0,0.0250268820673227,0.0358915813267231,-0.0018918039277195,0.0246771837351571,0.0375703745175839,0.0003270316228736,0.352735061753729,-0.0035005971530308,0.6568255986628706
36,160,population_random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,137,population_random,0.0047953377386196,0.0411160058737151,0.0720196664333343,0.051631886512041,0.0332957515493035,0.1002250047378748,0.0541918917162415,-1.451405114494264e-05,-0.002672257177061,0.0595810859506936,1.8494465050384563
23,227,population_random,0.0033541551945668,0.0293685756240822,0.0206410773098468,0.0614978596568107,-0.0254823174327611,0.0193955940707359,0.0548154555901385,0.0001226963213412,0.1154052132239672,-0.0217159976218678,0.3538344042126596
26,2,population_random,0.0,0.0,0.0949792563915252,0.180713340640068,-0.0405557490885257,0.0952274411988956,0.1909353975111586,0.0007682820141781,0.0422544158132106,-0.0479741069344733,0.4987416814256852
3,202,population_random,0.0001398162169603,0.0014684287812041,0.1163245812058448,0.1253961473703384,0.022277470678091,0.1284508717379551,0.1351754222485345,0.0089469638187438,0.515277157322258,0.0270693050515543,0.9502531569743072
7,7,population_random,0.0001649114353891,0.0014684287812041,0.0,0.0091895433142781,-0.0068921574857085,0.0,0.0077244720875546,0.0,0.0,-0.0057933540656659,0.0
10,147,population_random,0.0009708264500734,0.0117474302496328,0.0218514446169137,0.0418201871216297,-0.0095136957243084,0.0285162330221321,0.0362900762216214,0.0003603607183322,0.3482229646806491,0.001298675855916,0.7857859776099476
28,198,population_random,0.0,0.0,0.0,0.0085487700998783,-0.0064115775749087,0.0,0.0152468207629245,0.0,0.0,-0.0114351155721934,0.0
25,168,sentinel,0.0180384430066079,0.0734214390602055,3.484094381332397,3.991197109222412,0.4906965494155884,3.836609076546345,4.1724375941944905,7.689778089523315,0.4803705866689085,0.7072808809004769,0.9195126325876424
24,153,sentinel,0.0229915221182085,0.1306901615271659,3.13029146194458,3.727071046829224,0.3349881768226623,3.453375138418815,3.6297157788991687,6.498941659927368,0.518473138356998,0.7310883042444383,0.9514175072587124
28,149,sentinel,0.0257864124449339,0.1233480176211453,3.0048859119415283,3.0529894828796387,0.7151437997817993,3.1820379094635536,2.8583201145796964,3.5404685735702515,0.3892642580084756,1.0382978235287812,1.1132545627872563
23,28,sentinel,0.0364041993621512,0.1776798825256975,2.9576575756073,3.387319326400757,0.4171680808067322,3.2783280214293486,3.2387079526055613,4.210939645767212,0.3966019300109951,0.8492970569751779,1.0122332946973192
28,138,sentinel,0.0199091122889133,0.1071953010279001,2.950913429260254,1.434509515762329,1.875031292438507,3.074495276455702,1.3898568764421062,2.326167643070221,0.5443736560053464,2.0321026191241227,2.212094877224976
18,43,sentinel,0.0309861417033773,0.1541850220264317,2.886381864547729,2.962690830230713,0.6643637418746948,3.2617342463142367,2.940211485308263,5.263484954833984,0.5488406154535842,1.0565756323330393,1.1093536171161356
26,134,sentinel,0.0197865042217327,0.1101321585903083,2.849454164505005,3.426743268966675,0.2793967127799988,3.1505485253870447,3.520998903854533,4.7026859521865845,0.4239297688795006,0.5097993474961449,0.8947882721398064
29,250,sentinel,0.0218686903450807,0.105726872246696,2.796088933944702,3.139296531677246,0.4416165351867676,2.929976182066157,3.0779528884405414,3.765357792377472,0.4175227957865547,0.6215115157357514,0.9519236610374796
28,128,sentinel,0.0579255001835536,0.3671071953010279,1.1650127172470093,0.0,1.1650127172470093,0.9740803110099344,0.0021569392184896,5.207990852795774e-06,0.0024787774728713,0.9724626065960672,451.60304110952535
21,36,sentinel,0.0232776076082966,0.1336270190895741,2.7406818866729736,2.184737205505371,1.102128982543945,2.95629595505076,2.139912284764685,3.0082755088806152,0.4755254080636068,1.351361741477246,1.38150333361653
29,10,sentinel,0.1194410506149045,0.6666666666666666,1.0693954229354858,0.0,1.0693954229354858,0.907931543578176,0.0,0.0,0.0,0.907931543578176,907931543578.176
30,63,sentinel,0.0361471526248164,0.2085168869309838,0.989340603351593,0.00431521050632,0.986104195471853,0.8280350528308238,0.0224294986665417,-5.548138142330572e-05,-0.0029873009532681,0.8112129288309174,36.91723408999295
22,210,sentinel,0.0169500275330396,0.1365638766519823,1.8899952173233032,1.2102516889572144,0.9823064506053923,2.112519583526669,1.2057027820751538,1.3459466695785522,0.5284292457784227,1.2082424969703036,1.7521064187054678
36,128,sentinel,0.0739007577321953,0.4669603524229075,1.0286517143249512,0.0784412026405334,0.9698208123445512,1.0128980266331504,0.0679370950287151,0.0009702233655843,0.0140993480593262,0.961945205361614,14.909351455049944
22,216,sentinel,0.0639555226688693,0.4331864904552129,1.2012146711349487,0.3624974191188812,0.9293416067957878,1.0501984749268047,0.6069562421333953,0.0160607690922915,0.0251963465359458,0.5949812933267583,1.7302704907255315
6,0,sentinel,0.1607574597329295,0.788546255506608,0.4621697962284088,0.182107388973236,0.3255892544984817,0.4892732157157519,0.1801668077007215,0.0014371414436027,0.0163032162125561,0.3541481099402107,2.7156678966404124
15,193,sentinel,0.137533986095815,0.8193832599118943,0.7869179844856262,0.0874414145946502,0.7213369235396385,0.7545629418298431,0.074619555215691,0.001603641139809,0.0284812509767665,0.6985982754180748,10.11213400614134
18,97,sentinel,0.1287019032213656,0.7474302496328928,0.5892008543014526,0.6859866976737976,0.0747108310461044,0.5323956002394314,0.5764915226199728,0.0015519035223405,0.005056352417213,0.1000269582744518,0.9235098511404596
9,76,sentinel,0.1170426647393538,0.6123348017621145,0.26616370677948,0.0086076883599162,0.2597079405095428,0.2394114332012706,0.0071121864319983,-9.379870675729762e-06,-0.005508696324037,0.2340772933772719,33.66214250100032
14,20,sentinel,0.1151555043135095,0.7797356828193832,0.2748998999595642,0.1083300411701202,0.193652369081974,0.2479917284721488,0.1138606320681226,0.0017066375585272,0.0604408430103793,0.1625962544210568,2.178028735354268
8,104,sentinel,0.1149167412353157,0.6740088105726872,0.3868839740753174,0.0872040167450904,0.3214809615164995,0.344886936997398,0.0724136055285688,8.476225411868654e-05,0.0033939510978207,0.2905767328509713,4.762736705004551
27,23,sentinel,0.1120444142345815,0.671071953010279,0.6386340856552124,0.0,0.6386340856552124,0.5416177985876683,0.0024501443927431,-5.1607715931822895e-06,-0.0038889291548024,0.539780190293111,221.0554610457933
38,60,sentinel,0.0460547448604992,0.1365638766519823,0.3250021934509277,0.8317306637763977,-0.2987958043813705,0.3239869616294614,0.8397258054729243,0.1835997551679611,0.6748497092034059,-0.3058073924752318,0.3858247055377912
36,229,sentinel,0.0274627730359765,0.1160058737151248,0.2008682489395141,0.4948695600032806,-0.1702839210629463,0.2031229482143652,0.4867128646611101,0.0569971930235624,0.5765296552465867,-0.1619117002814673,0.4173363043431757
