layer,expert,precise_target_grad_l2,precise_control_grad_l2,precise_grad_dot,precise_grad_cosine,precise_grad_specific,precise_grad_ratio
1,174,0.0226307721464101,0.0068419987871192,-9.43608540637797e-07,-0.0060940989016907,0.0174992730560707,3.307625863031028
2,55,0.0285268336142996,0.0076008720703992,-1.3935445167589933e-05,-0.0642693421725669,0.0228261795615002,3.753100084612805
3,90,0.1095660342266922,0.1157407726319807,-5.879007585463114e-05,-0.0046359815704695,0.0227604547527066,0.946650274870128
4,60,0.0046528752001719,0.0044701135446549,8.054092859310914e-08,0.0038723684561634,0.0013002900416807,1.0408852376232418
5,146,0.0,0.0004579207435234,0.0,0.0,-0.0003434405576425,0.0
6,162,0.0932058396627556,0.1482198336487449,0.0019942710641771,0.1443559679585642,-0.017959035573803,0.628835138777772
7,44,0.0373185951337067,0.0371428263625309,0.0007563531980849,0.5456628829474184,0.0094614753618084,1.0047322400416014
8,156,0.0685047273277231,0.0596339987533507,0.002355329808779,0.5765503691773303,0.0237792282627101,1.1487528718292643
9,235,0.1571399853145145,0.1857944543347335,0.0147464913316071,0.5050905519036842,0.0177941445634644,0.8457732814272277
10,248,0.018698942886388185,0.017569265682821477,0.000183035088411998,0.5571391636854227,0.005521993624272078,1.0642984870794552
11,25,0.06988568534884478,0.1078369379853215,-0.0002497119967301842,-0.033134744886074693,-0.010992018140146345,0.6480681541394413
12,175,0.08389082538868912,0.295819533248957,5.8767906011780724e-05,0.0023680938043908017,-0.1379738245480286,0.2835878498861817
13,146,0.11868308104820639,0.2604115994278325,0.000268489595327992,0.008687170056136381,-0.07662561852266798,0.45575189933365906
14,148,0.2802681008605095,0.34788801204677566,0.0005124864146637265,0.0052561678206515475,0.019352091825427797,0.805627360399013
15,60,0.06228187241963407,0.48979621851288063,0.0009672286105342209,0.03170677319627199,-0.3050652914650264,0.12715874493397916
16,235,0.0,0.015412056077025168,0.0,0.0,-0.011559042057768875,0.0
17,215,0.04170212604317625,0.1635667429112407,-4.923109372612089e-06,-0.0007217491514320195,-0.08097293114025428,0.25495479888323574
18,116,0.0,0.0,0.0,0.0,0.0,0.0
19,77,0.019411323836790957,0.06638383662417134,2.8199742700962815e-06,0.0021884047168391164,-0.030376553631337545,0.29241039421078885
