selector,layer,expert,n_runs,target_improvement_mean,target_improvement_std,control_improvement_mean,specific_gain_mean,specific_gain_std,target_token_acc_mean,target_seq_exact_mean,mean_grad_norm
global_gradient_specific,36,95,3,0.15518538157145176,0.004641787679279191,-0.0007634162902831664,0.15594879786173496,0.009256665395788104,0.6149523854255676,0.0,4.64974740304445
global_gradient,30,229,3,0.15479516983032218,0.004201863388800571,0.11666917800903316,0.038125991821289,0.0023495369413858488,0.6149523854255676,0.0,11.80495548248291
global_routing,33,1,3,0.11349042256673174,0.008490971210449902,0.017736593882242798,0.0957538286844889,0.005543060491500762,0.6149523854255676,0.0,4.740307048747414
validation_write_oracle,3,29,3,0.0718441009521484,0.05875834154094958,0.0985035896301269,-0.026659488677978533,0.030555518300092406,0.6060634652773539,0.0,0.5964645555144862
panel_causal,36,229,3,0.027554353078206334,0.0069929507134696605,0.03444194793701166,-0.006887594858805301,0.011426595827459767,0.6149523854255676,0.0,1.052692577504275
