method,n_seeds,mean_accuracy,base_accuracy,mean_accuracy_gain,two_way_ci_low,two_way_ci_high,positive_seed_count,target_improvement_mean,control_abs_shift_mean,trainable_params
stratified_lora_baseline_r63,3,0.7960069444444444,0.78125,0.01475694444444442,-0.014778645833333397,0.04513888888888884,3,0.0018552939097086394,0.0037306944529215333,12644352
stratified_lora_adaptive_riemannian_r63,3,0.7986111111111112,0.78125,0.01736111111111116,-0.00954861111111116,0.04513888888888895,3,0.05408946673075357,0.0035194158554076663,12644352
stratified_lora_adaptive_riemannian_r128,3,0.7899305555555556,0.78125,0.00868055555555558,-0.02517361111111116,0.04427083333333326,1,0.07043276230494178,0.0103212197621663,25690112
stratified_lora_adaptive_riemannian_r256,3,0.7855902777777778,0.78125,0.00434027777777779,-0.0304036458333334,0.03819444444444453,2,0.09826743602752684,0.013025085131327266,51380224
