layer,expert,target_delta_nll,control_delta_nll,causal_specificity,ci_2.5,ci_97.5,p_positive,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity
36,229,1.2857521772384644,-0.03184548392891884,1.2857521772384644,0.45102609793345133,2.197427314023176,1.0,1.3069024085998535,0.007984991185367107,1.3009136652108282
38,60,0.19167040288448334,0.0024572263937443495,0.18982748308917508,0.017479662628223504,0.35577507217725096,0.9858,0.1971549242734909,0.013400912284851074,0.1871042400598526
38,210,0.06898041814565659,4.371007435111096e-06,0.06897713989008025,0.003809438645839693,0.1508206722637015,0.981,0.08257690817117691,4.371007435111096e-06,0.08257362991560058
33,251,0.057142455130815506,-0.0030486981850117445,0.057142455130815506,0.0010072787602742519,0.12052490313847859,0.977,0.0359862856566906,-0.0024170379620045424,0.0359862856566906
36,252,0.11167460680007935,0.010621885769069195,0.10370819247327745,-0.004748323063055671,0.18752923756837844,0.9704,0.09687735885381699,0.0008463065023534,0.09624262897705194
27,40,0.09210789203643799,-0.004402244929224253,0.09210789203643799,-0.026713800181945163,0.17538541654745737,0.9286,0.09033465385437012,-0.02052099071443081,0.09033465385437012
33,1,0.0908670425415039,-0.025969192385673523,0.0908670425415039,-0.054174678027629854,0.24698087920745204,0.8784,0.0486857108771801,-0.017878269776701927,0.0486857108771801
27,146,0.2327473759651184,0.18054868280887604,0.09733586385846138,-0.09402840556576847,0.3157456519392627,0.8226,0.22640258073806763,0.27130696177482605,0.02292235940694809
33,166,0.048079151660203934,0.03190651163458824,0.024149267934262753,-0.04998897568633159,0.08673676935334998,0.7428,0.04208493232727051,0.05179121717810631,0.003241519443690777
33,169,0.04257045313715935,-0.0030087034683674574,0.04257045313715935,-0.02272074483335018,0.13771011432011923,0.7342,0.04274650290608406,-0.0011516014346852899,0.04274650290608406
27,69,0.03329308703541756,-0.04564778506755829,0.03329308703541756,-0.0804227997859319,0.16270321359237033,0.6734,0.027618804946541786,-0.01615445874631405,0.027618804946541786
36,37,0.010175228118896484,-0.005211988929659128,0.010175228118896484,-0.026929512992501257,0.061467251181602484,0.6148,0.026380697265267372,0.0027392555493861437,0.024326255603227764
38,203,0.0066088042221963406,-0.015369176864624023,0.0066088042221963406,-0.042855793299774333,0.0404791807134946,0.5654,-0.0036662619095295668,0.021887287497520447,-0.020081727532669902
36,250,0.01876002550125122,0.015420611016452312,0.007194567238911986,-0.03593040481209755,0.07422470953315495,0.564,0.014117996208369732,0.011566400527954102,0.005443195812404156
27,29,0.016981204971671104,0.012486626394093037,0.007616235176101327,-0.057217850474019845,0.06648718398064371,0.5506,0.04266120865941048,0.018571967259049416,0.028732233215123415
33,133,0.0049744644202291965,-9.014705574372783e-05,0.0049744644202291965,-0.031404010082284606,0.02180650228013595,0.5114,-0.0017581382999196649,0.008058478124439716,-0.007801996893249452
33,119,0.00640098238363862,0.0070641785860061646,0.001102848444133997,-0.03350113015621901,0.025960301049053645,0.4684,,,
36,122,0.00043364366865716875,-0.012857501395046711,0.00043364366865716875,-0.015090573703249295,0.0059651613235473635,0.4608,,,
33,140,-7.915496826171875e-05,-0.01370673906058073,-7.915496826171875e-05,-0.014576217625290155,0.009645883738994594,0.439,,,
33,55,-0.0017865300178527832,0.0016336491098627448,-0.003011766850249842,-0.0324818864154319,0.01013464325418074,0.2716,,,
27,139,-0.03326179459691048,-0.025893932208418846,-0.03326179459691048,-0.16065979407479364,0.04003091414148608,0.2702,,,
38,71,-0.003130535362288356,-0.0038908671122044325,-0.003130535362288356,-0.0157847604714334,0.00031660348176956087,0.2264,,,
36,149,-0.0025344889145344496,0.004454230424016714,-0.005875161732546985,-0.02603816203773022,0.008224206014225847,0.226,,,
36,193,-0.003937045577913523,0.005821918603032827,-0.008303484530188143,-0.02903528700893124,0.004341006713608864,0.1282,,,
33,153,-0.006297329906374216,0.00773686682805419,-0.012099980027414858,-0.04079680911575754,0.006337261510391999,0.1076,,,
27,141,-0.037174880504608154,0.025025760754942894,-0.055944201070815325,-0.15784879395117363,0.013361777861912979,0.0774,,,
38,18,-0.0035646159667521715,-0.00408211862668395,-0.0035646159667521715,-0.010647425055503845,1.136561234792072e-05,0.0668,,,
33,100,-0.012184877879917622,0.0025075774174183607,-0.014065560942981392,-0.053540200926363475,0.005018323659896845,0.0652,,,
27,249,-0.03590160608291626,0.0033931087236851454,-0.03844643762568012,-0.09966837813456852,0.0015301068623860548,0.0308,,,
36,172,-0.0008784334058873355,0.0014544874429702759,-0.0019692989881150424,-0.01366303265094757,-6.49313131968183e-05,0.012,,,
36,62,-0.004397491458803415,-0.005058040376752615,-0.004397491458803415,-0.010665659606456756,-0.0004288107156753555,0.007,,,
27,73,0.0,0.0,0.0,0.0,0.0,0.0,,,
38,181,0.0,0.0,0.0,0.0,0.0,0.0,,,
38,171,0.0,-1.1156002983625513e-05,0.0,-8.270144462585449e-07,0.0,0.0,,,
27,133,0.0,0.0,0.0,0.0,0.0,0.0,,,
27,195,0.0,0.0,0.0,0.0,0.0,0.0,,,
38,90,0.0,0.0,0.0,0.0,0.0,0.0,,,
36,204,0.0,-1.5457471818081103e-05,0.0,0.0,0.0,0.0,,,
38,157,-1.0271866813127417e-05,-0.0006011973018757999,-1.0271866813127417e-05,-3.073612848917643e-05,0.0,0.0,,,
