layer,expert,target_delta_nll,control_delta_nll,causal_specificity,ci_2.5,ci_97.5,p_positive,renorm_target_delta_nll,renorm_control_delta_nll,renorm_causal_specificity,selected_rate,routing_mass,causal_rank,routing_rank,rank_gap
36,229,1.2857521772384644,-0.03184548392891884,1.2857521772384644,0.45102609793345133,2.197427314023176,1.0,1.3069024085998535,0.007984991185367107,1.3009136652108282,0.10839391936549901,0.028932197000991408,1.0,5.0,4.0
38,60,0.19167040288448334,0.0024572263937443495,0.18982748308917508,0.017479662628223504,0.35577507217725096,0.9858,0.1971549242734909,0.013400912284851074,0.1871042400598526,0.22736285525446134,0.0753857195968275,2.0,1.0,-1.0
38,210,0.06898041814565659,4.371007435111096e-06,0.06897713989008025,0.003809438645839693,0.1508206722637015,0.981,0.08257690817117691,4.371007435111096e-06,0.08257362991560058,0.09253139458030403,0.02049554899206874,7.0,6.0,-1.0
33,251,0.057142455130815506,-0.0030486981850117445,0.057142455130815506,0.0010072787602742519,0.12052490313847859,0.977,0.0359862856566906,-0.0024170379620045424,0.0359862856566906,0.08129543952412426,0.009346890748925975,8.0,12.0,4.0
36,252,0.11167460680007935,0.010621885769069195,0.10370819247327745,-0.004748323063055671,0.18752923756837844,0.9704,0.09687735885381699,0.0008463065023534,0.09624262897705194,0.24388631857237278,0.06189553814854593,3.0,2.0,-1.0
27,40,0.09210789203643799,-0.004402244929224253,0.09210789203643799,-0.026713800181945163,0.17538541654745737,0.9286,0.09033465385437012,-0.02052099071443081,0.09033465385437012,0.06477197620621282,0.013331078569068077,5.0,9.0,4.0
33,1,0.0908670425415039,-0.025969192385673523,0.0908670425415039,-0.054174678027629854,0.24698087920745204,0.8784,0.0486857108771801,-0.017878269776701927,0.0486857108771801,0.12822207534699273,0.03994757027635493,6.0,3.0,-3.0
27,146,0.2327473759651184,0.18054868280887604,0.09733586385846138,-0.09402840556576847,0.3157456519392627,0.8226,0.22640258073806763,0.27130696177482605,0.02292235940694809,0.13284864507600794,0.016140551418952414,4.0,7.0,3.0
33,166,0.048079151660203934,0.03190651163458824,0.024149267934262753,-0.04998897568633159,0.08673676935334998,0.7428,0.04208493232727051,0.05179121717810631,0.003241519443690777,0.28883013879709185,0.036988676264044944,11.0,4.0,-7.0
33,169,0.04257045313715935,-0.0030087034683674574,0.04257045313715935,-0.02272074483335018,0.13771011432011923,0.7342,0.04274650290608406,-0.0011516014346852899,0.04274650290608406,0.016523463317911435,0.0028433588586417712,9.0,21.0,12.0
