layer,expert,panel_group,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank
1,184,population_random,0.0003055440029129,0.0007033446454443,-0.0002219644811702,0.4344157653827168,64.92173910140991,1561,10,0.0064061499039077515,0.0006668902146060218,5625,8477,2617
2,21,population_random,0.001399808214046,0.0,0.001399808214046,1399808214.046061,64.94238758087158,1561,26,0.016655989750160152,0.0014129189021460603,4451,7874,1580
3,255,population_random,0.0033978885039687,0.0255555883049964,-0.0157688027247786,0.1329606841088224,64.96303606033325,1561,0,0.0,0.0,7471,6870,4538
4,213,population_random,0.0099424486979842,0.0313386693596839,-0.0135615533217787,0.317258163821644,64.98115921020508,1561,36,0.023062139654067906,0.003104230060858424,2925,5055,4339
5,122,population_random,0.0943112447857856,0.0124524207785725,0.0849719292018562,7.573727747820532,65.00180768966675,1561,1238,0.7930813581037797,0.13648508818465727,20,836,202
6,154,population_random,0.00024957297137,0.1081189960241317,-0.0808396740467287,0.0023083175070554,65.02245616912842,1561,7,0.004484304932735426,0.0002608754404228059,6601,8505,7312
7,13,population_random,0.0,0.0,0.0,0.0,65.04310464859009,1561,0,0.0,0.0,7617,8768,1904
8,116,population_random,0.0016254965448752,0.0055884174071252,-0.0025658165104687,0.2908688500096336,65.06122779846191,1561,15,0.009609224855861628,0.000812967949231262,5326,7733,2983
9,74,population_random,0.0447912029922008,0.1601212471723556,-0.0752997323870658,0.2797330384499663,65.08187627792358,1561,69,0.044202434336963484,0.0052888272741832155,1827,1857,7195
10,73,population_random,0.0041297008283436,0.0214833822101354,-0.0119828358292579,0.1922276849965964,65.10252475738525,1561,29,0.018577834721332478,0.0018420808976617553,3946,6597,4182
11,67,population_random,0.0487600341439247,0.0429931841790676,0.016515146009624,1.1341340511022375,65.12317323684692,1561,143,0.09160794362588084,0.016387607102818707,417,1706,711
12,139,population_random,0.0141670312732458,0.116575539112091,-0.0732646230608224,0.1215266202586653,65.14129638671875,1561,27,0.01729660474055093,0.0013563020499679692,4514,4272,7156
13,205,population_random,0.0398289300501346,0.0156174823641777,0.0281158182770013,2.5502785352228865,65.16194486618042,1561,76,0.04868673926969891,0.007149988989429853,1306,2036,504
14,15,population_random,0.0058639626950025,0.026505185291171,-0.0140149262733757,0.2212383211195514,65.18259334564209,1561,6,0.003843689942344651,0.00034001391335682253,6351,6059,4374
15,246,population_random,0.0255405232310295,7.104565611371072e-07,0.0255399903886086,35949.40025714019,65.20324182510376,1561,32,0.020499679692504803,0.0017360415999359384,4083,2919,541
16,148,population_random,0.0054179187864065,0.0574337728321552,-0.0376574108377099,0.0943333254833447,65.22136497497559,1561,35,0.02242152466367713,0.0017024155689461884,4121,6177,5932
17,106,population_random,0.0,0.0,0.0,0.0,65.24201345443726,1561,0,0.0,0.0,8314,8768,1904
18,239,population_random,0.0,0.0,0.0,0.0,65.26266193389893,1561,1,0.0006406149903907751,5.223764814221653e-05,7288,8768,1904
19,169,population_random,0.1685918122529983,0.4610525667667389,-0.1771976128220558,0.365667224097526,65.2833104133606,1561,31,0.01985906470211403,0.00163688390855221,4195,438,8615
20,40,population_random,0.0385083816945552,0.1661418229341507,-0.0860979855060577,0.2317801804160176,65.30143356323242,1561,5,0.0032030749519538757,0.0003415779147982063,6346,2097,7429
21,44,population_random,0.0007613027119077,0.3540685474872589,-0.2647901079035364,0.0021501562827548,65.32208204269409,1561,10,0.0064061499039077515,0.0006659518137411915,5628,8219,9081
22,118,population_random,0.003919577691704,0.0062371920794248,-0.0007583163678646,0.6284202315983581,65.34273052215576,1561,36,0.023062139654067906,0.002067609905509289,3754,6682,2700
23,63,population_random,0.0264616683125495,0.5130614638328552,-0.3583344295620918,0.0515760199856262,65.36337900161743,1561,5,0.0032030749519538757,0.00044730441223574634,6061,2848,9349
24,92,population_random,0.0943974927067756,0.0587424300611019,0.0503406701609492,1.6069728917748138,65.38150215148926,1561,142,0.09096732863549008,0.008955159453074952,973,835,322
25,95,population_random,0.0451033040881156,0.0678000524640083,-0.0057467352598905,0.6652399584999369,65.40215063095093,1561,85,0.05445227418321589,0.005049847853939782,1913,1843,3445
26,99,population_random,0.0534807853400707,0.1620527058839798,-0.0680587440729141,0.3300209339178193,65.4227991104126,1561,172,0.11018577834721333,0.009080123168241512,952,1545,7031
27,231,population_random,0.6659753322601318,3.7516274452209473,-2.1477452516555786,0.1775163824191324,65.44344758987427,1561,54,0.03459320948110186,0.004531224975976938,2137,83,9960
28,207,population_random,0.0455180145800113,0.0210197698324918,0.0297531872056424,2.165485870710401,65.4615707397461,1561,112,0.07174887892376682,0.01146694576793722,672,1824,479
29,220,population_random,0.3531262576580047,0.0169972460716962,0.3403783231042325,20.77549834530272,65.48221921920776,1561,338,0.216527866752082,0.03482014609024664,134,182,38
30,251,population_random,0.007339128293097,0.036416258662939,-0.0199730657041072,0.2015343849796557,65.50286769866943,1561,0,0.0,0.0,9378,5664,4866
31,55,population_random,0.000145496262121,0.0,0.000145496262121,145496262.1210143,65.5235161781311,1561,4,0.0025624599615631004,0.00024836342889173607,6639,8571,1815
32,204,population_random,0.0332967117428779,0.2598861753940582,-0.1616179198026657,0.1281203653571143,65.54163932800293,1561,54,0.03459320948110186,0.004433162085602178,2182,2383,8493
33,0,population_random,0.0014177312841638,0.0090207932516932,-0.005347863654606,0.1571625958438427,65.5622878074646,1561,0,0.0,0.0,9540,7865,3385
34,164,population_random,0.0024040723219513,0.0012936685234308,0.0014338209293782,1.8583371834057023,65.58293628692627,1561,64,0.04099935938500961,0.004994795003203075,1933,7321,1576
35,250,population_random,0.0174090731889009,0.0032678807619959,0.014958162617404,5.327328152860982,65.60358476638794,1561,28,0.017937219730941704,0.001987533031710442,3817,3794,762
