layer,expert,precise_target_grad_l2,precise_control_grad_l2,precise_grad_dot,precise_grad_cosine,precise_grad_specific,precise_grad_ratio
1,184,0.0002554229908104252,0.0005800248373303392,-2.5337495990207515e-10,-0.0017102402222743515,-0.00017959563718732922,0.4403656083861622
2,21,0.0011808897013015343,0.0,0.0,0.0,0.0011808897013015343,1180889701.3015344
3,255,0.0034217358030874385,0.021430223668602148,2.3952270566951483e-05,0.32664311685188413,-0.012650931948364173,0.15966869295634203
4,213,0.010049942480655395,0.026609649845887567,0.0001155805221060291,0.4321971672521218,-0.00990729490376028,0.37768037304071855
5,122,0.08826330960539518,0.012311895386669911,8.94631239134469e-06,0.008232636386000759,0.07902938806539274,7.1689457086996455
6,154,0.0002075391706126651,0.0897607004858332,-4.852983614966888e-08,-0.002605088699927969,-0.06711298619376224,0.0023121384914226305
7,13,0.0,0.0017475585488091964,0.0,0.0,-0.0013106689116068973,0.0
8,116,0.001358713323461965,0.004657970301189838,-1.4833573924732946e-08,-0.0023438037837593398,-0.0021347644024304136,0.2916964332776439
9,74,0.04550003954398027,0.13876275321841813,0.0031036529690027237,0.4915735116216684,-0.05857202536983333,0.32789807414698297
10,73,0.0037805795849231516,0.017937117052268713,-4.042835826112423e-07,-0.0059617680952731055,-0.009672258204278382,0.21076851835753674
11,67,0.04086080492345758,0.06007787542266497,4.41912798123667e-05,0.01800176531582603,-0.004197601643541146,0.6801306576723969
12,139,0.012104975738615253,0.0977215500901012,-1.403041915182257e-05,-0.011860865331277951,-0.06118618682896064,0.12387212162854921
13,205,0.03327914784009262,0.035216549645847105,2.3197038217404042e-05,0.019793087173667772,0.006866735605707296,0.9449860413304875
14,15,0.005148215743752175,0.02307091818617377,3.6995050322730094e-05,0.3114741468427018,-0.012154972895878153,0.2231474145062122
15,246,0.02142400074887603,5.871394147649511e-07,2.0871243101849846e-11,0.0016592296741770568,0.021423560394314957,36488.71753693307
16,148,0.004519555406247137,0.04779462687130203,4.018986146547832e-06,0.018605515988351706,-0.031326414747229386,0.09456199790663734
17,106,0.0,0.0,0.0,0.0,0.0,0.0
18,239,0.0,0.0,0.0,0.0,0.0,0.0
19,169,0.16509980714670172,0.407371508922232,0.045080965384840965,0.6702795817747603,-0.14042882454497227,0.4052806922680848
20,40,0.03968359214938732,0.14514300840576672,0.0026651574298739433,0.4627173346962955,-0.06917366415493773,0.27341029089167773
21,44,0.0006325108303431232,0.295128674034296,4.2177620684924477e-07,0.0022594498374536257,-0.22071399469537886,0.002143169695085195
22,118,0.0032794315309316755,0.006595555724993596,-8.287920305605212e-08,-0.003831736221373038,-0.0016672352628135214,0.49721837964421733
23,63,0.032271115976525856,0.42786031114516027,-0.0001425605223630555,-0.01032483907157533,-0.28862411738234434,0.07542442039103225
24,92,0.09104632255944041,0.051457916160865154,0.00037261231045704335,0.07953212659469674,0.05245288543879154,1.7693355920796838
25,95,0.04184420008725336,0.05809916534213113,0.00023545491421828046,0.09685066246765038,-0.0017301739193449836,0.7202203308795118
26,99,0.048147999704321286,0.13935057678939078,0.0002758650080068037,0.0411158806008457,-0.0563649328877218,0.3455170463825553
27,231,0.6823962376565734,3.1878169781021723,0.4622378349304199,0.21248852765693962,-1.7084664959200557,0.21406380678184841
28,207,0.038325582076575625,0.028832180461916074,8.377987796848174e-06,0.007581820117664761,0.01670144673013857,1.3292640882943265
29,220,0.3608124119883882,0.015341446870332858,-4.203502248856239e-05,-0.0075938758867259565,0.34930632683563856,23.518799433618284
30,251,0.007386275242494954,0.03143483684919439,0.0001380827925459016,0.5947067443078216,-0.016189852394400836,0.23497100613866487
31,55,0.00012072914178150088,9.357331747951838e-06,4.772074662512393e-13,0.00042241865516786487,0.000113711142970537,12.90208919928881
32,204,0.03234991889772256,0.21657790905351568,-1.0754477443697397e-05,-0.0015349773105721991,-0.13008351289241418,0.14936850687564646
33,0,0.001181036868241784,0.00752101547204909,2.294346490572252e-08,0.002582968251800178,-0.004459724735795033,0.15703157006842064
34,164,0.002031279057414693,0.001143472506736373,1.0941316830326286e-07,0.04710578832543436,0.0011736746773624135,1.776412676012499
35,250,0.014568779342330878,0.004036177189803306,-1.3791550657060725e-07,-0.002345415061393947,0.011541646449978397,3.6095489998622443
36,87,0.004113236021819059,0.041275209154995385,7.527024354203604e-05,0.443353772339858,-0.02684317084442748,0.09965391105042033
37,176,0.0020837725436305627,0.02235985444916572,3.690086487040389e-05,0.7919855568410901,-0.01468611829324373,0.09319258084951974
38,168,0.00020401103548564747,1.3034726042903033,-1.8718655780958215e-06,-0.007039131688459606,-0.9774004421822419,0.00015651348161365312
39,5,5.179676321613507e-06,5.636255350458996e-07,6.709307052922049e-15,0.0022981818254720903,4.756957170329082e-06,9.189908564527917
11,248,0.015616313002145896,0.24486669530266203,1.1797432762250537e-05,0.003085171321254626,-0.16803370847485063,0.06377475296417884
15,7,0.0,0.0,0.0,0.0,0.0,0.0
31,7,0.0013016453100673363,0.003188372362545104,8.661369954587883e-10,0.00020870117551871352,-0.0010896339618414917,0.4082475826694396
21,1,0.032415690284588516,0.027982153206674593,0.00018641546193975955,0.20551594722838623,0.01142907537958257,1.1584415982576333
16,143,0.0,0.0,0.0,0.0,0.0,0.0
16,103,0.13994460944098835,0.3645131440945488,0.0004538256907835603,0.008896510786516295,-0.13344024862992326,0.3839219839060318
6,104,0.02195497072606491,0.05152256265183849,0.0006489734223578125,0.573715512732357,-0.016686951262813953,0.4261234223537863
6,178,0.0,0.0,0.0,0.0,0.0,0.0
7,71,0.03960113792903005,0.14695417091488203,0.002906607696786523,0.4994555424844573,-0.07061449025713146,0.2694795097152984
28,149,2.0823394948006064,3.430526873991619,1.4069161415100098,0.19694993880405354,-0.49055566069310785,0.6070028223906829
30,229,2.003896915402896,6.959974031742475,5.479002934880555,0.3928425641382382,-3.2160836084039603,0.2879172977174053
29,194,1.8301557037944136,5.9918166621519555,2.0929916501045227,0.1908626457373846,-2.6637067928195535,0.30544254054943154
27,89,1.7787467030583788,2.8270043950783807,0.959892749786377,0.1908895348096135,-0.34150659325040666,0.6291984215356808
24,153,1.759929687439309,5.269477046520938,3.6162883043289185,0.3899421774213921,-2.1921780974513947,0.333985644476985
34,239,1.6770516228689003,0.004687051290590333,5.160583896213211e-06,0.0006565271725959471,1.6735363344009575,357.80526359460225
36,252,1.5786795444427768,3.894445665159471,1.1882152557373047,0.19326601565631973,-1.3421547044268265,0.40536694569026094
30,31,1.5467633293765022,0.02454100804740555,0.00014914861458237283,0.003929189352357439,1.528357573340948,63.02770148339513
27,254,1.3703456913789749,0.05059424570521427,0.00039347664278466254,0.0056752852273278,1.3324000071000641,27.085010800164202
35,255,1.2734995867800032,0.009090480612168939,-7.480191925424151e-06,-0.0006461406850190424,1.2666817263208765,140.09155741833342
29,93,1.18321831417315,0.009605628519345774,-4.8412272008135915e-05,-0.004259560533895272,1.1760140927836407,123.17968695822078
30,90,1.2492366486508277,0.008017749098483448,-1.65653495969309e-05,-0.0016538778373248154,1.2432233368269652,155.80889762830208
36,41,1.3127647995631264,0.07888288205018953,0.0008687665686011314,0.008389448409463046,1.2536026380254843,16.641947725885988
26,165,1.0924369696279688,0.005392684976190719,-6.088127065595472e-05,-0.01033432863831528,1.0883924558958258,202.57756094572872
6,91,0.4379398825281075,0.06821242955570138,-3.536190342856571e-05,-0.0011837435290842735,0.38678056036133146,6.420235804151665
15,130,0.7139428616555927,0.09915677025201951,-0.00022112444275990129,-0.0031235677009712336,0.6395752839665781,7.200142358749848
33,212,0.7203015188013143,0.06624342172870706,0.0004893012810498476,0.010254612759447574,0.670618952504784,10.873555441329096
12,23,0.4896269146480332,0.22703913997216832,0.0009525151690468192,0.008568521382090407,0.31934755966890693,2.1565749179013705
31,73,1.1405992113098302,0.3067925951314087,0.0046630725264549255,0.013325828821904575,0.9105047649612736,3.7178185829992367
31,38,1.4561471174186105,4.185627760753088,1.1660236120224,0.19131168086533457,-1.6830737031462055,0.3478921683079312
24,206,1.0825647904738684,3.4387001023438875,1.433349370956421,0.38503823748889915,-1.4964602862840473,0.3148180295617101
39,95,0.46091075593335284,2.0508748932303247,0.15396862477064133,0.16288317235829688,-1.0772454139893908,0.22473860178138386
16,17,0.9257224663851487,2.6667325240188666,1.1703340411186218,0.4740777532544688,-1.0743269266290012,0.3471373518142355
39,86,0.480886045532851,0.03141626953420227,-0.0002782391893560998,-0.018417111198088275,0.45732384338219934,15.306911121131458
24,168,0.6825319381549014,1.456423266994567,0.2159695327281952,0.21726106389239833,-0.40978551209102376,0.46863570063865156
39,100,0.21696169919718217,0.13043060801667616,0.0002030070718319621,0.007173788602175575,0.11913874318467504,1.663426265465075
36,229,0.16113576886326011,0.6031895593076998,0.044851964339613914,0.461461737404423,-0.2912564006175148,0.26713951920509654
36,95,0.0005720111897582329,3.090147483355338,-1.0955689333513874e-05,-0.006198062860865632,-2.3170386013267454,0.00018510805482233736
25,168,1.3218273298537417,5.805963512041875,1.9228495955467224,0.2505510840177103,-3.032645304177665,0.22766717825766117
33,1,0.008454499831823425,2.2448966111672766,3.968295095546637e-05,0.0020908346852509434,-1.675217958543634,0.0037660976410951864
