selector,order_seed,capability,layer,expert,lr,updates,trainable_params,mean_train_grad_norm,relative_parameter_delta,final_target_improvement,final_control_improvement,final_utility_score,final_specific_gain,final_relative_target_improvement,final_relative_control_improvement,final_relative_specific_gain,final_target_token_acc,final_control_token_acc,final_target_seq_exact,final_control_seq_exact,peak_gpu_gib,delta_merge_max_nll_diff,native_target_improvement,native_control_improvement,native_utility_score,native_specific_gain,native_relative_target_improvement,native_relative_control_improvement,native_relative_specific_gain,native_target_token_acc,native_control_token_acc,native_target_seq_exact,native_control_seq_exact
causal,11,sql,31.0,38.0,1e-05,19.0,3145728.0,1.1045412734935158,0.006093903872262195,0.15434366464614868,0.11120843887329102,0.15434366464614868,0.043135225772857666,0.19453707970615886,0.04282536774258469,0.15171171196357416,0.8734177947044373,0.7778546214103699,0.0,0.0,64.63395881652832,0.14439642429351807,0.15071570873260498,0.11278033256530762,0.15071570873260498,0.03793537616729736,0.18996434942700197,0.04343068983949462,0.14653365958750736,0.8734177947044373,0.7778546214103699,0.0,0.0
causal,23,sql,31.0,38.0,1e-05,19.0,3145728.0,1.1054035174219232,0.00610625541864827,0.1511213183403015,0.11130356788635254,0.1511213183403015,0.039817750453948975,0.1904755858859972,0.04286200106833428,0.1476135848176629,0.8725482821464539,0.7778546214103699,0.0,0.0,64.63395881652832,0.044371604919433594,0.15363717079162598,0.11128664016723633,0.15363717079162598,0.04235053062438965,0.1936466042104248,0.04285548235623348,0.1507911218541913,0.8734177947044373,0.7778546214103699,0.0,0.0
causal,47,sql,31.0,38.0,1e-05,19.0,3145728.0,1.0963886380195618,0.006172783422719262,0.15458858013153076,0.11097836494445801,0.15458858013153076,0.043610215187072754,0.19484577487294966,0.04273676834572164,0.15210900652722803,0.8725482821464539,0.7778546214103699,0.0,0.0,64.63395881652832,0.24893474578857422,0.15350550413131714,0.11795163154602051,0.15350550413131714,0.03555387258529663,0.19348064956855549,0.04542211047986719,0.1480585390886883,0.8734177947044373,0.7778546214103699,0.0,0.0
routing,11,sql,6.0,91.0,1e-05,19.0,3145728.0,0.4647197739074105,0.00506974157044864,0.06809449195861816,-0.0006918907165527344,0.06757557392120361,0.0687863826751709,0.0858273233311792,-0.000266440880514578,0.08609376421169379,0.8751206994056702,0.7645212411880493,0.0,0.0,64.63395881652832,0.20950603485107422,0.07869386672973633,-0.007604122161865234,0.0729907751083374,0.08629798889160156,0.09918693494472862,-0.0029282789259586317,0.10211521387068725,0.8769225478172302,0.7760363817214966,0.0,0.0
routing,23,sql,6.0,91.0,1e-05,19.0,3145728.0,0.47176004240387365,0.0050027016709923615,0.07863181829452515,-0.015322208404541016,0.06714016199111938,0.09395402669906616,0.09910872816239004,-0.005900444392539582,0.10500917255492961,0.8749563097953796,0.7778546214103699,0.0,0.0,64.63395881652832,0.4591054916381836,0.07379138469696045,0.029520273208618164,0.07379138469696045,0.044271111488342285,0.09300777274746812,0.011367991213877842,0.08163978153359028,0.8742873668670654,0.7758546471595764,0.0,0.0
routing,47,sql,6.0,91.0,1e-05,19.0,3145728.0,0.4643761217594147,0.004992501875672624,0.07103937864303589,-0.004135847091674805,0.06793749332427979,0.0751752257347107,0.08953910286528315,-0.0015926774480656044,0.09113178031334875,0.875887393951416,0.7778546214103699,0.0,0.0,64.63395881652832,0.4316120147705078,0.07211250066757202,-0.010759830474853516,0.06404262781143188,0.08287233114242554,0.09089168202880263,-0.004143513762102999,0.09503519579090562,0.8742873668670654,0.7758546471595764,0.0,0.0
gradient,11,sql,28.0,149.0,1e-05,19.0,3145728.0,1.4637371176167537,0.005892145725639688,0.2073308229446411,0.15662908554077148,0.2073308229446411,0.05070173740386963,0.2613228921393995,0.060316449501740865,0.20100644263765866,0.8742873668670654,0.7778546214103699,0.0,0.0,64.63395881652832,0.11664485931396484,0.2099771499633789,0.1533060073852539,0.2099771499633789,0.056671142578125,0.26465836257385505,0.05903676204736037,0.2056216005264947,0.8734177947044373,0.7778546214103699,0.0,0.0
gradient,23,sql,28.0,149.0,1e-05,19.0,3145728.0,1.4529211583890413,0.005900474575396316,0.21027278900146484,0.15790510177612305,0.21027278900146484,0.0523676872253418,0.2650309904704923,0.060807831856156444,0.20422315861433582,0.8734177947044373,0.7778546214103699,0.0,0.0,64.63395881652832,0.07140672206878662,0.20798295736312866,0.16018009185791016,0.20798295736312866,0.047802865505218506,0.26214485218317124,0.061683910037365994,0.20046094214580523,0.8734177947044373,0.7778546214103699,0.0,0.0
gradient,47,sql,28.0,149.0,1e-05,19.0,3145728.0,1.4489340092006482,0.005967361863587489,0.21154463291168213,0.15291047096252441,0.21154463291168213,0.058634161949157715,0.26663404169195304,0.05888444453503312,0.20774959715691993,0.8742873668670654,0.7778546214103699,0.0,0.0,64.63395881652832,0.1935429573059082,0.21121037006378174,0.15567708015441895,0.21121037006378174,0.05553328990936279,0.26621273176365834,0.05994984080570547,0.20626289095795286,0.8734177947044373,0.7778546214103699,0.0,0.0
gradient_specific,11,sql,34.0,239.0,1e-05,19.0,3145728.0,1.2537966652920371,0.0058079613200844845,0.13699370622634888,-0.0004322528839111328,0.13666951656341553,0.13742595911026,0.1726689307818139,-0.00016645669068674358,0.17283538747250063,0.8734177947044373,0.7778546214103699,0.0,0.0,64.63395881652832,0.062496185302734375,0.13448792695999146,-0.006180286407470703,0.12985271215438843,0.14066821336746216,0.16951060885144512,-0.0023799726067191213,0.17189058145816424,0.8734177947044373,0.7778546214103699,0.0,0.0
